bus,snapshot,type,label,capacity,cost,net_demand
Anhui,2026-08-12 00:00,Generator,coal_gen__8,339.18,290.50,57640.00
Anhui,2026-08-12 00:00,Generator,coal_gen__9,339.18,290.50,57640.00
Anhui,2026-08-12 00:00,Generator,coal_gen__10,339.18,290.50,57640.00
Anhui,2026-08-12 00:00,Generator,coal_gen__11,339.18,290.50,57640.00
Anhui,2026-08-12 00:00,Generator,coal_gen__12,339.18,290.50,57640.00
Anhui,2026-08-12 00:00,Generator,coal_gen__19,339.18,290.50,57640.00
Anhui,2026-08-12 00:00,Generator,coal_gen__20,339.18,290.50,57640.00
Anhui,2026-08-12 00:00,Generator,coal_gen__23,493.35,290.50,57640.00
Anhui,2026-08-12 00:00,Generator,coal_gen__24,493.35,290.50,57640.00
Anhui,2026-08-12 00:00,Generator,coal_gen__629,339.18,290.50,57640.00
Anhui,2026-08-12 00:00,Generator,coal_gen__630,339.18,290.50,57640.00
Anhui,2026-08-12 00:00,Generator,coal_gen__864,339.18,290.50,57640.00
Anhui,2026-08-12 00:00,Generator,coal_gen__865,339.18,290.50,57640.00
Anhui,2026-08-12 00:00,Generator,coal_gen__867,340.36,290.50,57640.00
Anhui,2026-08-12 00:00,Generator,coal_gen__1068,339.18,290.50,57640.00
Anhui,2026-08-12 00:00,Generator,coal_gen__1069,339.18,290.50,57640.00
Anhui,2026-08-12 00:00,Generator,coal_gen__1070,737.22,290.50,57640.00
Anhui,2026-08-12 00:00,Generator,coal_gen__1073,339.18,290.50,57640.00
Anhui,2026-08-12 00:00,Generator,coal_gen__1074,339.18,290.50,57640.00
Anhui,2026-08-12 00:00,Generator,coal_gen__1083,339.18,290.50,57640.00
Anhui,2026-08-12 00:00,Generator,coal_gen__1084,339.18,290.50,57640.00
Anhui,2026-08-12 00:00,Generator,coal_gen__1619,493.35,290.50,57640.00
Anhui,2026-08-12 00:00,Generator,coal_gen__1620,493.35,290.50,57640.00
Anhui,2026-08-12 00:00,Generator,coal_gen__1621,339.18,290.50,57640.00
Anhui,2026-08-12 00:00,Generator,coal_gen__1622,339.18,290.50,57640.00
Anhui,2026-08-12 00:00,Generator,coal_gen__1642,339.18,290.50,57640.00
Anhui,2026-08-12 00:00,Generator,coal_gen__1643,339.18,290.50,57640.00
Anhui,2026-08-12 00:00,Generator,coal_gen__1690,339.18,290.50,57640.00
Anhui,2026-08-12 00:00,Generator,coal_gen__1691,339.18,290.50,57640.00
Anhui,2026-08-12 00:00,Generator,coal_gen__1915,493.35,290.50,57640.00
Anhui,2026-08-12 00:00,Generator,coal_gen__1916,493.35,290.50,57640.00
Anhui,2026-08-12 00:00,Generator,coal_gen__2367,493.35,290.50,57640.00
Anhui,2026-08-12 00:00,Generator,coal_gen__2509,493.35,290.50,57640.00
Anhui,2026-08-12 00:00,Generator,coal_gen__2510,493.35,290.50,57640.00
Anhui,2026-08-12 00:00,Generator,coal_gen__2637,339.18,290.50,57640.00
Anhui,2026-08-12 00:00,Generator,coal_gen__2638,339.18,290.50,57640.00
Anhui,2026-08-12 00:00,Generator,coal_gen__2639,493.35,290.50,57640.00
Anhui,2026-08-12 00:00,Generator,coal_gen__2640,339.18,290.50,57640.00
Anhui,2026-08-12 00:00,Generator,coal_gen__2641,339.18,290.50,57640.00
Anhui,2026-08-12 00:00,Generator,hydro_gen__3320,3342.44,0.00,57640.00
Anhui,2026-08-12 00:00,Generator,onwind_gen__3321,6262.82,0.00,57640.00
Anhui,2026-08-12 00:00,Import,Import_Xinjiang,11880.00,173.82,57640.00
Anhui,2026-08-12 00:00,Congestion,Rent_link_0_Xinjiang_Anhui,0.00,290.50,57640.00
Anhui,2026-08-12 00:00,Import,Import_Xinjiang,11880.00,173.82,57640.00
Anhui,2026-08-12 00:00,Congestion,Rent_link_1_Xinjiang_Anhui,0.00,290.50,57640.00
Anhui,2026-08-12 00:00,Import,Import_Jiangsu,1185.83,290.50,57640.00
Anhui,2026-08-12 00:00,Import,Import_Ningxia,7920.00,197.58,57640.00
Anhui,2026-08-12 00:00,Congestion,Rent_link_66_Ningxia_Anhui,0.00,290.50,57640.00
Beijing,2026-08-12 00:00,Generator,gas_gen__3201,9600.00,350.00,20020.00
Beijing,2026-08-12 00:00,Generator,hydro_gen__3252,835.61,0.00,20020.00
Beijing,2026-08-12 00:00,Generator,onwind_gen__3253,347.93,0.00,20020.00
Beijing,2026-08-12 00:00,Generator,load_shedding_load_shed_Beijing,3890.46,10000.00,20020.00
Beijing,2026-08-12 00:00,Import,Import_HEBEI_NORTH,2970.00,233.72,20020.00
Beijing,2026-08-12 00:00,Congestion,Rent_link_11_HEBEI_NORTH_Beijing__fwd,0.00,10000.00,20020.00
Beijing,2026-08-12 00:00,Import,Import_Tianjin,2376.00,246.57,20020.00
Beijing,2026-08-12 00:00,Congestion,Rent_link_95_Beijing_Tianjin__rev,0.00,10000.00,20020.00
Chongqing,2026-08-12 00:00,Generator,hydro_gen__3351,5431.46,0.00,20310.56
Chongqing,2026-08-12 00:00,Generator,onwind_gen__3352,2739.98,0.00,20310.56
Chongqing,2026-08-12 00:00,Import,Import_Xinjiang,7920.00,173.82,20310.56
Chongqing,2026-08-12 00:00,Congestion,Rent_link_60_Xinjiang_Chongqing,0.00,275.41,20310.56
Chongqing,2026-08-12 00:00,Import,Import_Hubei,1605.51,275.41,20310.56
Chongqing,2026-08-12 00:00,Import,Import_Guizhou,2613.60,-0.00,20310.56
Chongqing,2026-08-12 00:00,Congestion,Rent_link_96_Guizhou_Chongqing__fwd,0.00,275.41,20310.56
Fujian,2026-08-12 00:00,Generator,coal_gen__588,892.90,290.50,52441.59
Fujian,2026-08-12 00:00,Generator,coal_gen__589,892.90,290.50,52441.59
Fujian,2026-08-12 00:00,Generator,coal_gen__594,545.34,290.50,52441.59
Fujian,2026-08-12 00:00,Generator,coal_gen__595,545.34,290.50,52441.59
Fujian,2026-08-12 00:00,Generator,coal_gen__637,892.90,290.50,52441.59
Fujian,2026-08-12 00:00,Generator,coal_gen__638,892.90,290.50,52441.59
Fujian,2026-08-12 00:00,Generator,coal_gen__1111,545.34,290.50,52441.59
Fujian,2026-08-12 00:00,Generator,coal_gen__1112,545.34,290.50,52441.59
Fujian,2026-08-12 00:00,Generator,coal_gen__1149,545.34,290.50,52441.59
Fujian,2026-08-12 00:00,Generator,coal_gen__1150,545.34,290.50,52441.59
Fujian,2026-08-12 00:00,Generator,coal_gen__1673,892.90,290.50,52441.59
Fujian,2026-08-12 00:00,Generator,coal_gen__1674,892.90,290.50,52441.59
Fujian,2026-08-12 00:00,Generator,coal_gen__1728,892.90,290.50,52441.59
Fujian,2026-08-12 00:00,Generator,coal_gen__1729,892.90,290.50,52441.59
Fujian,2026-08-12 00:00,Generator,nuclear_gen__3325,13000.00,20.00,52441.59
Fujian,2026-08-12 00:00,Generator,hydro_gen__3326,12116.33,0.00,52441.59
Fujian,2026-08-12 00:00,Generator,onwind_gen__3327,5000.00,0.00,52441.59
Fujian,2026-08-12 00:00,Generator,offwind_gen__3328,3000.00,0.00,52441.59
Fujian,2026-08-12 00:00,Import,Import_Xinjiang,8910.00,173.82,52441.59
Fujian,2026-08-12 00:00,Congestion,Rent_link_63_Xinjiang_Fujian,0.00,290.50,52441.59
Gansu,2026-08-12 00:00,Generator,coal_gen__657,1000.00,183.44,55867.80
Gansu,2026-08-12 00:00,Generator,coal_gen__658,1000.00,183.44,55867.80
Gansu,2026-08-12 00:00,Generator,coal_gen__715,1000.00,183.44,55867.80
Gansu,2026-08-12 00:00,Generator,coal_gen__716,1000.00,183.44,55867.80
Gansu,2026-08-12 00:00,Generator,coal_gen__717,1000.00,183.44,55867.80
Gansu,2026-08-12 00:00,Generator,coal_gen__718,1000.00,183.44,55867.80
Gansu,2026-08-12 00:00,Generator,hydro_gen__3390,6684.87,0.00,55867.80
Gansu,2026-08-12 00:00,Generator,onwind_gen__3391,28008.71,0.00,55867.80
Gansu,2026-08-12 00:00,Import,Import_Qinghai,5274.21,193.65,55867.80
Gansu,2026-08-12 00:00,Import,Import_Xinjiang,9900.00,173.82,55867.80
Gansu,2026-08-12 00:00,Congestion,Rent_link_84_Gansu_Xinjiang__rev,0.00,193.65,55867.80
Guangdong,2026-08-12 00:00,Generator,coal_gen__256,323.42,315.48,139452.97
Guangdong,2026-08-12 00:00,Generator,coal_gen__257,323.42,315.48,139452.97
Guangdong,2026-08-12 00:00,Generator,coal_gen__354,268.61,315.48,139452.97
Guangdong,2026-08-12 00:00,Generator,coal_gen__355,268.61,315.48,139452.97
Guangdong,2026-08-12 00:00,Generator,coal_gen__679,323.42,315.48,139452.97
Guangdong,2026-08-12 00:00,Generator,coal_gen__680,323.42,315.48,139452.97
Guangdong,2026-08-12 00:00,Generator,coal_gen__681,323.42,315.48,139452.97
Guangdong,2026-08-12 00:00,Generator,coal_gen__682,323.42,315.48,139452.97
Guangdong,2026-08-12 00:00,Generator,coal_gen__690,268.61,315.48,139452.97
Guangdong,2026-08-12 00:00,Generator,coal_gen__691,268.61,315.48,139452.97
Guangdong,2026-08-12 00:00,Generator,coal_gen__692,298.82,315.48,139452.97
Guangdong,2026-08-12 00:00,Generator,coal_gen__693,298.82,315.48,139452.97
Guangdong,2026-08-12 00:00,Generator,coal_gen__804,464.99,315.48,139452.97
Guangdong,2026-08-12 00:00,Generator,coal_gen__805,464.99,315.48,139452.97
Guangdong,2026-08-12 00:00,Generator,coal_gen__806,464.99,315.48,139452.97
Guangdong,2026-08-12 00:00,Generator,coal_gen__807,464.99,315.48,139452.97
Guangdong,2026-08-12 00:00,Generator,coal_gen__944,326.52,315.48,139452.97
Guangdong,2026-08-12 00:00,Generator,coal_gen__945,326.52,315.48,139452.97
Guangdong,2026-08-12 00:00,Generator,coal_gen__946,323.42,315.48,139452.97
Guangdong,2026-08-12 00:00,Generator,coal_gen__947,323.42,315.48,139452.97
Guangdong,2026-08-12 00:00,Generator,coal_gen__1559,323.42,315.48,139452.97
Guangdong,2026-08-12 00:00,Generator,coal_gen__1560,323.42,315.48,139452.97
Guangdong,2026-08-12 00:00,Generator,coal_gen__1653,323.42,315.48,139452.97
Guangdong,2026-08-12 00:00,Generator,coal_gen__1654,323.42,315.48,139452.97
Guangdong,2026-08-12 00:00,Generator,coal_gen__1707,323.42,315.48,139452.97
Guangdong,2026-08-12 00:00,Generator,coal_gen__1708,323.42,315.48,139452.97
Guangdong,2026-08-12 00:00,Generator,coal_gen__2142,355.56,315.48,139452.97
Guangdong,2026-08-12 00:00,Generator,coal_gen__2143,355.56,315.48,139452.97
Guangdong,2026-08-12 00:00,Generator,coal_gen__2147,527.53,315.48,139452.97
Guangdong,2026-08-12 00:00,Generator,coal_gen__2148,527.53,315.48,139452.97
Guangdong,2026-08-12 00:00,Generator,coal_gen__2151,298.82,315.48,139452.97
Guangdong,2026-08-12 00:00,Generator,coal_gen__2152,298.82,315.48,139452.97
Guangdong,2026-08-12 00:00,Generator,coal_gen__2227,323.42,315.48,139452.97
Guangdong,2026-08-12 00:00,Generator,coal_gen__2228,323.42,315.48,139452.97
Guangdong,2026-08-12 00:00,Generator,coal_gen__2386,323.42,315.48,139452.97
Guangdong,2026-08-12 00:00,Generator,coal_gen__2387,323.42,315.48,139452.97
Guangdong,2026-08-12 00:00,Generator,coal_gen__2872,268.61,315.48,139452.97
Guangdong,2026-08-12 00:00,Generator,coal_gen__2873,268.61,315.48,139452.97
Guangdong,2026-08-12 00:00,Generator,coal_gen__2874,298.82,315.48,139452.97
Guangdong,2026-08-12 00:00,Generator,coal_gen__2875,298.82,315.48,139452.97
Guangdong,2026-08-12 00:00,Generator,coal_gen__2876,608.34,315.48,139452.97
Guangdong,2026-08-12 00:00,Generator,coal_gen__2877,608.34,315.48,139452.97
Guangdong,2026-08-12 00:00,Generator,coal_gen__3087,268.61,315.48,139452.97
Guangdong,2026-08-12 00:00,Generator,nuclear_gen__3360,17000.00,20.00,139452.97
Guangdong,2026-08-12 00:00,Generator,hydro_gen__3361,13369.75,0.00,139452.97
Guangdong,2026-08-12 00:00,Generator,onwind_gen__3362,14247.91,0.00,139452.97
Guangdong,2026-08-12 00:00,Generator,offwind_gen__3363,6341.10,0.00,139452.97
