bus,snapshot,type,label,capacity,cost,net_demand
Anhui,2026-06-06 00:00,Generator,coal_gen__8,13.40,286.93,36720.00
Anhui,2026-06-06 00:00,Generator,coal_gen__9,13.40,286.93,36720.00
Anhui,2026-06-06 00:00,Generator,coal_gen__10,13.40,286.93,36720.00
Anhui,2026-06-06 00:00,Generator,coal_gen__11,13.40,286.93,36720.00
Anhui,2026-06-06 00:00,Generator,coal_gen__12,13.40,286.93,36720.00
Anhui,2026-06-06 00:00,Generator,coal_gen__19,13.40,286.93,36720.00
Anhui,2026-06-06 00:00,Generator,coal_gen__20,13.40,286.93,36720.00
Anhui,2026-06-06 00:00,Generator,coal_gen__23,27.72,286.93,36720.00
Anhui,2026-06-06 00:00,Generator,coal_gen__24,27.72,286.93,36720.00
Anhui,2026-06-06 00:00,Generator,coal_gen__629,13.40,286.93,36720.00
Anhui,2026-06-06 00:00,Generator,coal_gen__630,13.40,286.93,36720.00
Anhui,2026-06-06 00:00,Generator,coal_gen__864,13.40,286.93,36720.00
Anhui,2026-06-06 00:00,Generator,coal_gen__865,13.40,286.93,36720.00
Anhui,2026-06-06 00:00,Generator,coal_gen__867,150.39,286.93,36720.00
Anhui,2026-06-06 00:00,Generator,coal_gen__1068,13.40,286.93,36720.00
Anhui,2026-06-06 00:00,Generator,coal_gen__1069,13.40,286.93,36720.00
Anhui,2026-06-06 00:00,Generator,coal_gen__1070,188.99,286.93,36720.00
Anhui,2026-06-06 00:00,Generator,coal_gen__1073,13.40,286.93,36720.00
Anhui,2026-06-06 00:00,Generator,coal_gen__1074,13.40,286.93,36720.00
Anhui,2026-06-06 00:00,Generator,coal_gen__1083,13.40,286.93,36720.00
Anhui,2026-06-06 00:00,Generator,coal_gen__1084,13.40,286.93,36720.00
Anhui,2026-06-06 00:00,Generator,coal_gen__1619,27.72,286.93,36720.00
Anhui,2026-06-06 00:00,Generator,coal_gen__1620,27.72,286.93,36720.00
Anhui,2026-06-06 00:00,Generator,coal_gen__1621,13.40,286.93,36720.00
Anhui,2026-06-06 00:00,Generator,coal_gen__1622,13.40,286.93,36720.00
Anhui,2026-06-06 00:00,Generator,coal_gen__1642,13.40,286.93,36720.00
Anhui,2026-06-06 00:00,Generator,coal_gen__1643,13.40,286.93,36720.00
Anhui,2026-06-06 00:00,Generator,coal_gen__1690,13.40,286.93,36720.00
Anhui,2026-06-06 00:00,Generator,coal_gen__1691,13.40,286.93,36720.00
Anhui,2026-06-06 00:00,Generator,coal_gen__1915,27.72,286.93,36720.00
Anhui,2026-06-06 00:00,Generator,coal_gen__1916,27.72,286.93,36720.00
Anhui,2026-06-06 00:00,Generator,coal_gen__2367,27.72,286.93,36720.00
Anhui,2026-06-06 00:00,Generator,coal_gen__2509,27.72,286.93,36720.00
Anhui,2026-06-06 00:00,Generator,coal_gen__2510,27.72,286.93,36720.00
Anhui,2026-06-06 00:00,Generator,coal_gen__2637,13.40,286.93,36720.00
Anhui,2026-06-06 00:00,Generator,coal_gen__2638,13.40,286.93,36720.00
Anhui,2026-06-06 00:00,Generator,coal_gen__2639,27.72,286.93,36720.00
Anhui,2026-06-06 00:00,Generator,coal_gen__2640,13.40,286.93,36720.00
Anhui,2026-06-06 00:00,Generator,coal_gen__2641,13.40,286.93,36720.00
Anhui,2026-06-06 00:00,Generator,hydro_gen__3320,2971.06,0.00,36720.00
Anhui,2026-06-06 00:00,Generator,onwind_gen__3321,754.86,0.00,36720.00
Anhui,2026-06-06 00:00,Import,Import_Xinjiang,11880.00,261.37,36720.00
Anhui,2026-06-06 00:00,Congestion,Rent_link_0_Xinjiang_Anhui,0.00,286.93,36720.00
Anhui,2026-06-06 00:00,Import,Import_Xinjiang,11880.00,261.37,36720.00
Anhui,2026-06-06 00:00,Congestion,Rent_link_1_Xinjiang_Anhui,0.00,286.93,36720.00
Anhui,2026-06-06 00:00,Import,Import_Ningxia,7920.00,259.66,36720.00
Anhui,2026-06-06 00:00,Congestion,Rent_link_66_Ningxia_Anhui,0.00,286.93,36720.00
Anhui,2026-06-06 00:00,Storage,Discharge_pumped_3323,31.44,286.93,36720.00
Anhui,2026-06-06 00:00,Storage,Discharge_battery_3324,304.27,286.93,36720.00
Beijing,2026-06-06 00:00,Generator,gas_gen__3201,9242.07,350.00,15372.77
Beijing,2026-06-06 00:00,Generator,hydro_gen__3252,742.76,0.00,15372.77
Beijing,2026-06-06 00:00,Generator,onwind_gen__3253,41.94,0.00,15372.77
Beijing,2026-06-06 00:00,Import,Import_HEBEI_NORTH,2970.00,264.45,15372.77
Beijing,2026-06-06 00:00,Congestion,Rent_link_11_HEBEI_NORTH_Beijing__fwd,0.00,350.00,15372.77
Beijing,2026-06-06 00:00,Import,Import_Tianjin,2376.00,260.81,15372.77
Beijing,2026-06-06 00:00,Congestion,Rent_link_95_Beijing_Tianjin__rev,0.00,350.00,15372.77
Chongqing,2026-06-06 00:00,Generator,coal_gen__313,660.00,272.65,24261.15
Chongqing,2026-06-06 00:00,Generator,coal_gen__314,660.00,272.65,24261.15
Chongqing,2026-06-06 00:00,Generator,coal_gen__317,1000.00,272.65,24261.15
Chongqing,2026-06-06 00:00,Generator,coal_gen__318,1000.00,272.65,24261.15
Chongqing,2026-06-06 00:00,Generator,hydro_gen__3351,4827.97,0.00,24261.15
Chongqing,2026-06-06 00:00,Generator,onwind_gen__3352,330.25,0.00,24261.15
Chongqing,2026-06-06 00:00,Import,Import_Xinjiang,7920.00,261.37,24261.15
Chongqing,2026-06-06 00:00,Congestion,Rent_link_60_Xinjiang_Chongqing,0.00,281.22,24261.15
Chongqing,2026-06-06 00:00,Import,Import_Hubei,4752.00,265.52,24261.15
Chongqing,2026-06-06 00:00,Congestion,Rent_link_87_Hubei_Chongqing__fwd,0.00,281.22,24261.15
Chongqing,2026-06-06 00:00,Import,Import_Guizhou,2613.60,274.59,24261.15
Chongqing,2026-06-06 00:00,Congestion,Rent_link_96_Guizhou_Chongqing__fwd,0.00,281.22,24261.15
