bus,snapshot,type,label,capacity,cost,net_demand
Anhui,2026-09-02 00:00,Generator,coal_gen__8,545.63,294.07,58677.05
Anhui,2026-09-02 00:00,Generator,coal_gen__9,545.63,294.07,58677.05
Anhui,2026-09-02 00:00,Generator,coal_gen__10,545.63,294.07,58677.05
Anhui,2026-09-02 00:00,Generator,coal_gen__11,545.63,294.07,58677.05
Anhui,2026-09-02 00:00,Generator,coal_gen__12,545.63,294.07,58677.05
Anhui,2026-09-02 00:00,Generator,coal_gen__19,545.63,294.07,58677.05
Anhui,2026-09-02 00:00,Generator,coal_gen__20,545.63,294.07,58677.05
Anhui,2026-09-02 00:00,Generator,coal_gen__23,749.16,294.07,58677.05
Anhui,2026-09-02 00:00,Generator,coal_gen__24,749.16,294.07,58677.05
Anhui,2026-09-02 00:00,Generator,coal_gen__629,545.63,294.07,58677.05
Anhui,2026-09-02 00:00,Generator,coal_gen__630,545.63,294.07,58677.05
Anhui,2026-09-02 00:00,Generator,coal_gen__864,545.63,294.07,58677.05
Anhui,2026-09-02 00:00,Generator,coal_gen__865,545.63,294.07,58677.05
Anhui,2026-09-02 00:00,Generator,coal_gen__867,332.12,294.07,58677.05
Anhui,2026-09-02 00:00,Generator,coal_gen__1068,545.63,294.07,58677.05
Anhui,2026-09-02 00:00,Generator,coal_gen__1069,545.63,294.07,58677.05
Anhui,2026-09-02 00:00,Generator,coal_gen__1070,763.73,294.07,58677.05
Anhui,2026-09-02 00:00,Generator,coal_gen__1073,545.63,294.07,58677.05
Anhui,2026-09-02 00:00,Generator,coal_gen__1074,545.63,294.07,58677.05
Anhui,2026-09-02 00:00,Generator,coal_gen__1083,545.63,294.07,58677.05
Anhui,2026-09-02 00:00,Generator,coal_gen__1084,545.63,294.07,58677.05
Anhui,2026-09-02 00:00,Generator,coal_gen__1619,749.16,294.07,58677.05
Anhui,2026-09-02 00:00,Generator,coal_gen__1620,749.16,294.07,58677.05
Anhui,2026-09-02 00:00,Generator,coal_gen__1621,545.63,294.07,58677.05
Anhui,2026-09-02 00:00,Generator,coal_gen__1622,545.63,294.07,58677.05
Anhui,2026-09-02 00:00,Generator,coal_gen__1642,545.63,294.07,58677.05
Anhui,2026-09-02 00:00,Generator,coal_gen__1643,545.63,294.07,58677.05
Anhui,2026-09-02 00:00,Generator,coal_gen__1690,545.63,294.07,58677.05
Anhui,2026-09-02 00:00,Generator,coal_gen__1691,545.63,294.07,58677.05
Anhui,2026-09-02 00:00,Generator,coal_gen__1915,749.16,294.07,58677.05
Anhui,2026-09-02 00:00,Generator,coal_gen__1916,749.16,294.07,58677.05
Anhui,2026-09-02 00:00,Generator,coal_gen__2367,749.16,294.07,58677.05
Anhui,2026-09-02 00:00,Generator,coal_gen__2509,749.16,294.07,58677.05
Anhui,2026-09-02 00:00,Generator,coal_gen__2510,749.16,294.07,58677.05
Anhui,2026-09-02 00:00,Generator,coal_gen__2637,545.63,294.07,58677.05
Anhui,2026-09-02 00:00,Generator,coal_gen__2638,545.63,294.07,58677.05
Anhui,2026-09-02 00:00,Generator,coal_gen__2639,749.16,294.07,58677.05
Anhui,2026-09-02 00:00,Generator,coal_gen__2640,545.63,294.07,58677.05
Anhui,2026-09-02 00:00,Generator,coal_gen__2641,545.63,294.07,58677.05
Anhui,2026-09-02 00:00,Generator,hydro_gen__3320,2692.52,0.00,58677.05
Anhui,2026-09-02 00:00,Generator,onwind_gen__3321,985.16,0.00,58677.05
Anhui,2026-09-02 00:00,Import,Import_Xinjiang,11880.00,273.46,58677.05
Anhui,2026-09-02 00:00,Congestion,Rent_link_0_Xinjiang_Anhui,0.00,294.07,58677.05
Anhui,2026-09-02 00:00,Import,Import_Xinjiang,11880.00,273.46,58677.05
Anhui,2026-09-02 00:00,Congestion,Rent_link_1_Xinjiang_Anhui,0.00,294.07,58677.05
Anhui,2026-09-02 00:00,Import,Import_Ningxia,7920.00,273.46,58677.05
Anhui,2026-09-02 00:00,Congestion,Rent_link_66_Ningxia_Anhui,0.00,294.07,58677.05
Beijing,2026-09-02 00:00,Generator,gas_gen__3201,9600.00,350.00,16640.00
Beijing,2026-09-02 00:00,Generator,hydro_gen__3252,673.13,0.00,16640.00
Beijing,2026-09-02 00:00,Generator,onwind_gen__3253,54.73,0.00,16640.00
Beijing,2026-09-02 00:00,Generator,load_shedding_load_shed_Beijing,962.35,10000.00,16640.00
Beijing,2026-09-02 00:00,Import,Import_HEBEI_NORTH,2970.00,272.31,16640.00
