bus,snapshot,type,label,capacity,cost,net_demand
Anhui,2026-09-01 00:00,Generator,coal_gen__8,547.54,294.07,60200.00
Anhui,2026-09-01 00:00,Generator,coal_gen__9,547.54,294.07,60200.00
Anhui,2026-09-01 00:00,Generator,coal_gen__10,547.54,294.07,60200.00
Anhui,2026-09-01 00:00,Generator,coal_gen__11,547.54,294.07,60200.00
Anhui,2026-09-01 00:00,Generator,coal_gen__12,547.54,294.07,60200.00
Anhui,2026-09-01 00:00,Generator,coal_gen__19,547.54,294.07,60200.00
Anhui,2026-09-01 00:00,Generator,coal_gen__20,547.54,294.07,60200.00
Anhui,2026-09-01 00:00,Generator,coal_gen__23,756.65,294.07,60200.00
Anhui,2026-09-01 00:00,Generator,coal_gen__24,756.65,294.07,60200.00
Anhui,2026-09-01 00:00,Generator,coal_gen__629,547.54,294.07,60200.00
Anhui,2026-09-01 00:00,Generator,coal_gen__630,547.54,294.07,60200.00
Anhui,2026-09-01 00:00,Generator,coal_gen__864,547.54,294.07,60200.00
Anhui,2026-09-01 00:00,Generator,coal_gen__865,547.54,294.07,60200.00
Anhui,2026-09-01 00:00,Generator,coal_gen__867,328.19,294.07,60200.00
Anhui,2026-09-01 00:00,Generator,coal_gen__1068,547.54,294.07,60200.00
Anhui,2026-09-01 00:00,Generator,coal_gen__1069,547.54,294.07,60200.00
Anhui,2026-09-01 00:00,Generator,coal_gen__1070,756.71,294.07,60200.00
Anhui,2026-09-01 00:00,Generator,coal_gen__1073,547.54,294.07,60200.00
Anhui,2026-09-01 00:00,Generator,coal_gen__1074,547.54,294.07,60200.00
Anhui,2026-09-01 00:00,Generator,coal_gen__1083,547.54,294.07,60200.00
Anhui,2026-09-01 00:00,Generator,coal_gen__1084,547.54,294.07,60200.00
Anhui,2026-09-01 00:00,Generator,coal_gen__1619,756.65,294.07,60200.00
Anhui,2026-09-01 00:00,Generator,coal_gen__1620,756.65,294.07,60200.00
Anhui,2026-09-01 00:00,Generator,coal_gen__1621,547.54,294.07,60200.00
Anhui,2026-09-01 00:00,Generator,coal_gen__1622,547.54,294.07,60200.00
Anhui,2026-09-01 00:00,Generator,coal_gen__1642,547.54,294.07,60200.00
Anhui,2026-09-01 00:00,Generator,coal_gen__1643,547.54,294.07,60200.00
Anhui,2026-09-01 00:00,Generator,coal_gen__1690,547.54,294.07,60200.00
Anhui,2026-09-01 00:00,Generator,coal_gen__1691,547.54,294.07,60200.00
Anhui,2026-09-01 00:00,Generator,coal_gen__1915,756.65,294.07,60200.00
Anhui,2026-09-01 00:00,Generator,coal_gen__1916,756.65,294.07,60200.00
Anhui,2026-09-01 00:00,Generator,coal_gen__2367,756.65,294.07,60200.00
Anhui,2026-09-01 00:00,Generator,coal_gen__2509,756.65,294.07,60200.00
Anhui,2026-09-01 00:00,Generator,coal_gen__2510,756.65,294.07,60200.00
Anhui,2026-09-01 00:00,Generator,coal_gen__2637,547.54,294.07,60200.00
Anhui,2026-09-01 00:00,Generator,coal_gen__2638,547.54,294.07,60200.00
Anhui,2026-09-01 00:00,Generator,coal_gen__2639,756.65,294.07,60200.00
Anhui,2026-09-01 00:00,Generator,coal_gen__2640,547.54,294.07,60200.00
Anhui,2026-09-01 00:00,Generator,coal_gen__2641,547.54,294.07,60200.00
Anhui,2026-09-01 00:00,Generator,hydro_gen__3320,2692.52,0.00,60200.00
Anhui,2026-09-01 00:00,Generator,onwind_gen__3321,2392.54,0.00,60200.00
Anhui,2026-09-01 00:00,Import,Import_Xinjiang,11880.00,245.20,60200.00
Anhui,2026-09-01 00:00,Congestion,Rent_link_0_Xinjiang_Anhui,0.00,294.07,60200.00
Anhui,2026-09-01 00:00,Import,Import_Xinjiang,11880.00,245.20,60200.00
Anhui,2026-09-01 00:00,Congestion,Rent_link_1_Xinjiang_Anhui,0.00,294.07,60200.00
Anhui,2026-09-01 00:00,Import,Import_Ningxia,7920.00,250.17,60200.00
Anhui,2026-09-01 00:00,Congestion,Rent_link_66_Ningxia_Anhui,0.00,294.07,60200.00
Beijing,2026-09-01 00:00,Generator,gas_gen__3201,9600.00,350.00,16380.00
Beijing,2026-09-01 00:00,Generator,hydro_gen__3252,673.13,0.00,16380.00
Beijing,2026-09-01 00:00,Generator,onwind_gen__3253,132.92,0.00,16380.00
Beijing,2026-09-01 00:00,Generator,load_shedding_load_shed_Beijing,619.90,10000.00,16380.00
Beijing,2026-09-01 00:00,Import,Import_HEBEI_NORTH,2970.00,266.89,16380.00
Beijing,2026-09-01 00:00,Congestion,Rent_link_11_HEBEI_NORTH_Beijing__fwd,0.00,10000.00,16380.00
Beijing,2026-09-01 00:00,Import,Import_Tianjin,2376.00,260.81,16380.00
Beijing,2026-09-01 00:00,Congestion,Rent_link_95_Beijing_Tianjin__rev,0.00,10000.00,16380.00
Beijing,2026-09-01 00:00,Storage,Discharge_battery_3255,8.05,10000.00,16380.00
Chongqing,2026-09-01 00:00,Generator,coal_gen__313,660.00,279.79,24027.67
Chongqing,2026-09-01 00:00,Generator,coal_gen__314,660.00,279.79,24027.67
Chongqing,2026-09-01 00:00,Generator,coal_gen__317,1000.00,279.79,24027.67
Chongqing,2026-09-01 00:00,Generator,coal_gen__318,1000.00,279.79,24027.67
Chongqing,2026-09-01 00:00,Generator,hydro_gen__3351,4375.34,0.00,24027.67
Chongqing,2026-09-01 00:00,Generator,onwind_gen__3352,1046.73,0.00,24027.67
Chongqing,2026-09-01 00:00,Import,Import_Xinjiang,7920.00,245.20,24027.67
Chongqing,2026-09-01 00:00,Congestion,Rent_link_60_Xinjiang_Chongqing,0.00,295.54,24027.67
Chongqing,2026-09-01 00:00,Import,Import_Hubei,4752.00,279.01,24027.67
Chongqing,2026-09-01 00:00,Congestion,Rent_link_87_Hubei_Chongqing__fwd,0.00,295.54,24027.67
Chongqing,2026-09-01 00:00,Import,Import_Guizhou,2613.60,274.59,24027.67
Chongqing,2026-09-01 00:00,Congestion,Rent_link_96_Guizhou_Chongqing__fwd,0.00,295.54,24027.67
Fujian,2026-09-01 00:00,Generator,coal_gen__586,47.98,313.78,48968.38
Fujian,2026-09-01 00:00,Generator,coal_gen__587,47.98,313.78,48968.38
Fujian,2026-09-01 00:00,Generator,coal_gen__588,1000.00,294.07,48968.38
Fujian,2026-09-01 00:00,Generator,coal_gen__589,1000.00,294.07,48968.38
Fujian,2026-09-01 00:00,Generator,coal_gen__594,660.00,294.07,48968.38
Fujian,2026-09-01 00:00,Generator,coal_gen__595,660.00,294.07,48968.38
Fujian,2026-09-01 00:00,Generator,coal_gen__631,47.98,313.78,48968.38
Fujian,2026-09-01 00:00,Generator,coal_gen__632,47.98,313.78,48968.38
Fujian,2026-09-01 00:00,Generator,coal_gen__633,47.98,313.78,48968.38
Fujian,2026-09-01 00:00,Generator,coal_gen__634,47.98,313.78,48968.38
Fujian,2026-09-01 00:00,Generator,coal_gen__635,47.98,313.78,48968.38
Fujian,2026-09-01 00:00,Generator,coal_gen__636,47.98,313.78,48968.38
Fujian,2026-09-01 00:00,Generator,coal_gen__637,1000.00,294.07,48968.38
Fujian,2026-09-01 00:00,Generator,coal_gen__638,1000.00,294.07,48968.38
Fujian,2026-09-01 00:00,Generator,coal_gen__1005,47.98,313.78,48968.38
Fujian,2026-09-01 00:00,Generator,coal_gen__1006,47.98,313.78,48968.38
Fujian,2026-09-01 00:00,Generator,coal_gen__1007,47.98,313.78,48968.38
Fujian,2026-09-01 00:00,Generator,coal_gen__1008,47.98,313.78,48968.38
Fujian,2026-09-01 00:00,Generator,coal_gen__1009,47.98,313.78,48968.38
Fujian,2026-09-01 00:00,Generator,coal_gen__1010,47.98,313.78,48968.38
Fujian,2026-09-01 00:00,Generator,coal_gen__1011,47.98,313.78,48968.38
Fujian,2026-09-01 00:00,Generator,coal_gen__1111,660.00,294.07,48968.38
Fujian,2026-09-01 00:00,Generator,coal_gen__1112,660.00,294.07,48968.38
Fujian,2026-09-01 00:00,Generator,coal_gen__1149,660.00,294.07,48968.38
Fujian,2026-09-01 00:00,Generator,coal_gen__1150,660.00,294.07,48968.38
Fujian,2026-09-01 00:00,Generator,coal_gen__1673,1000.00,294.07,48968.38
Fujian,2026-09-01 00:00,Generator,coal_gen__1674,1000.00,294.07,48968.38
Fujian,2026-09-01 00:00,Generator,coal_gen__1728,1000.00,294.07,48968.38
Fujian,2026-09-01 00:00,Generator,coal_gen__1729,1000.00,294.07,48968.38
Fujian,2026-09-01 00:00,Generator,coal_gen__1765,200.92,313.78,48968.38
Fujian,2026-09-01 00:00,Generator,coal_gen__1766,200.92,313.78,48968.38
Fujian,2026-09-01 00:00,Generator,coal_gen__1803,47.98,313.78,48968.38
Fujian,2026-09-01 00:00,Generator,coal_gen__1804,47.98,313.78,48968.38
Fujian,2026-09-01 00:00,Generator,coal_gen__1805,199.41,313.78,48968.38
Fujian,2026-09-01 00:00,Generator,coal_gen__1806,199.41,313.78,48968.38
Fujian,2026-09-01 00:00,Generator,nuclear_gen__3325,13000.00,20.00,48968.38
Fujian,2026-09-01 00:00,Generator,hydro_gen__3326,9760.37,0.00,48968.38
Fujian,2026-09-01 00:00,Generator,onwind_gen__3327,2326.08,0.00,48968.38
Fujian,2026-09-01 00:00,Generator,offwind_gen__3328,1395.65,0.00,48968.38
Fujian,2026-09-01 00:00,Import,Import_Xinjiang,8910.00,245.20,48968.38
Fujian,2026-09-01 00:00,Congestion,Rent_link_63_Xinjiang_Fujian,0.00,313.78,48968.38
Gansu,2026-09-01 00:00,Generator,coal_gen__641,330.00,213.85,44291.90
Gansu,2026-09-01 00:00,Generator,coal_gen__642,330.00,213.85,44291.90
Gansu,2026-09-01 00:00,Generator,coal_gen__645,300.00,195.60,44291.90
Gansu,2026-09-01 00:00,Generator,coal_gen__646,300.00,195.60,44291.90
Gansu,2026-09-01 00:00,Generator,coal_gen__647,350.00,195.60,44291.90
Gansu,2026-09-01 00:00,Generator,coal_gen__648,350.00,195.60,44291.90
Gansu,2026-09-01 00:00,Generator,coal_gen__649,660.00,195.60,44291.90
Gansu,2026-09-01 00:00,Generator,coal_gen__650,660.00,195.60,44291.90
Gansu,2026-09-01 00:00,Generator,coal_gen__651,145.00,213.85,44291.90
Gansu,2026-09-01 00:00,Generator,coal_gen__652,145.00,213.85,44291.90
Gansu,2026-09-01 00:00,Generator,coal_gen__653,330.00,213.85,44291.90
Gansu,2026-09-01 00:00,Generator,coal_gen__654,330.00,213.85,44291.90
Gansu,2026-09-01 00:00,Generator,coal_gen__655,330.00,213.85,44291.90
Gansu,2026-09-01 00:00,Generator,coal_gen__656,330.00,213.85,44291.90
Gansu,2026-09-01 00:00,Generator,coal_gen__657,1000.00,183.44,44291.90
Gansu,2026-09-01 00:00,Generator,coal_gen__658,1000.00,183.44,44291.90
Gansu,2026-09-01 00:00,Generator,coal_gen__715,1000.00,183.44,44291.90
Gansu,2026-09-01 00:00,Generator,coal_gen__716,1000.00,183.44,44291.90
Gansu,2026-09-01 00:00,Generator,coal_gen__717,1000.00,183.44,44291.90
Gansu,2026-09-01 00:00,Generator,coal_gen__718,1000.00,183.44,44291.90
Gansu,2026-09-01 00:00,Generator,coal_gen__1346,350.00,195.60,44291.90
Gansu,2026-09-01 00:00,Generator,coal_gen__1347,350.00,195.60,44291.90
Gansu,2026-09-01 00:00,Generator,coal_gen__1348,350.00,195.60,44291.90
Gansu,2026-09-01 00:00,Generator,coal_gen__1349,350.00,195.60,44291.90
Gansu,2026-09-01 00:00,Generator,coal_gen__1367,330.00,213.85,44291.90
Gansu,2026-09-01 00:00,Generator,coal_gen__1368,330.00,213.85,44291.90
Gansu,2026-09-01 00:00,Generator,coal_gen__1371,150.00,213.85,44291.90
Gansu,2026-09-01 00:00,Generator,coal_gen__1372,150.00,213.85,44291.90
Gansu,2026-09-01 00:00,Generator,coal_gen__1390,660.00,195.60,44291.90
Gansu,2026-09-01 00:00,Generator,coal_gen__1391,660.00,195.60,44291.90
Gansu,2026-09-01 00:00,Generator,coal_gen__1398,220.00,213.85,44291.90
Gansu,2026-09-01 00:00,Generator,coal_gen__1399,220.00,213.85,44291.90
Gansu,2026-09-01 00:00,Generator,coal_gen__1400,220.00,213.85,44291.90
Gansu,2026-09-01 00:00,Generator,coal_gen__1401,220.00,213.85,44291.90
Gansu,2026-09-01 00:00,Generator,coal_gen__1402,320.00,213.85,44291.90
Gansu,2026-09-01 00:00,Generator,coal_gen__1403,320.00,213.85,44291.90
Gansu,2026-09-01 00:00,Generator,coal_gen__1404,300.00,213.85,44291.90
Gansu,2026-09-01 00:00,Generator,coal_gen__1405,300.00,213.85,44291.90
