bus,snapshot,type,label,capacity,cost,net_demand
Anhui,2026-04-27 00:00,Generator,coal_gen__8,83.47,294.07,39605.18
Anhui,2026-04-27 00:00,Generator,coal_gen__9,83.47,294.07,39605.18
Anhui,2026-04-27 00:00,Generator,coal_gen__10,83.47,294.07,39605.18
Anhui,2026-04-27 00:00,Generator,coal_gen__11,83.47,294.07,39605.18
Anhui,2026-04-27 00:00,Generator,coal_gen__12,83.47,294.07,39605.18
Anhui,2026-04-27 00:00,Generator,coal_gen__19,83.47,294.07,39605.18
Anhui,2026-04-27 00:00,Generator,coal_gen__20,83.47,294.07,39605.18
Anhui,2026-04-27 00:00,Generator,coal_gen__23,162.84,294.07,39605.18
Anhui,2026-04-27 00:00,Generator,coal_gen__24,162.84,294.07,39605.18
Anhui,2026-04-27 00:00,Generator,coal_gen__629,83.47,294.07,39605.18
Anhui,2026-04-27 00:00,Generator,coal_gen__630,83.47,294.07,39605.18
Anhui,2026-04-27 00:00,Generator,coal_gen__864,83.47,294.07,39605.18
Anhui,2026-04-27 00:00,Generator,coal_gen__865,83.47,294.07,39605.18
Anhui,2026-04-27 00:00,Generator,coal_gen__867,316.57,294.07,39605.18
Anhui,2026-04-27 00:00,Generator,coal_gen__1068,83.47,294.07,39605.18
Anhui,2026-04-27 00:00,Generator,coal_gen__1069,83.47,294.07,39605.18
Anhui,2026-04-27 00:00,Generator,coal_gen__1070,571.91,294.07,39605.18
Anhui,2026-04-27 00:00,Generator,coal_gen__1073,83.47,294.07,39605.18
Anhui,2026-04-27 00:00,Generator,coal_gen__1074,83.47,294.07,39605.18
Anhui,2026-04-27 00:00,Generator,coal_gen__1083,83.47,294.07,39605.18
Anhui,2026-04-27 00:00,Generator,coal_gen__1084,83.47,294.07,39605.18
Anhui,2026-04-27 00:00,Generator,coal_gen__1619,162.84,294.07,39605.18
Anhui,2026-04-27 00:00,Generator,coal_gen__1620,162.84,294.07,39605.18
Anhui,2026-04-27 00:00,Generator,coal_gen__1621,83.47,294.07,39605.18
Anhui,2026-04-27 00:00,Generator,coal_gen__1622,83.47,294.07,39605.18
Anhui,2026-04-27 00:00,Generator,coal_gen__1642,83.47,294.07,39605.18
Anhui,2026-04-27 00:00,Generator,coal_gen__1643,83.47,294.07,39605.18
Anhui,2026-04-27 00:00,Generator,coal_gen__1690,83.47,294.07,39605.18
Anhui,2026-04-27 00:00,Generator,coal_gen__1691,83.47,294.07,39605.18
Anhui,2026-04-27 00:00,Generator,coal_gen__1915,162.84,294.07,39605.18
Anhui,2026-04-27 00:00,Generator,coal_gen__1916,162.84,294.07,39605.18
Anhui,2026-04-27 00:00,Generator,coal_gen__2367,162.84,294.07,39605.18
Anhui,2026-04-27 00:00,Generator,coal_gen__2509,162.84,294.07,39605.18
Anhui,2026-04-27 00:00,Generator,coal_gen__2510,162.84,294.07,39605.18
Anhui,2026-04-27 00:00,Generator,coal_gen__2637,83.47,294.07,39605.18
Anhui,2026-04-27 00:00,Generator,coal_gen__2638,83.47,294.07,39605.18
Anhui,2026-04-27 00:00,Generator,coal_gen__2639,162.84,294.07,39605.18
Anhui,2026-04-27 00:00,Generator,coal_gen__2640,83.47,294.07,39605.18
Anhui,2026-04-27 00:00,Generator,coal_gen__2641,83.47,294.07,39605.18
Anhui,2026-04-27 00:00,Generator,hydro_gen__3320,1485.53,0.00,39605.18
Anhui,2026-04-27 00:00,Generator,onwind_gen__3321,1317.81,0.00,39605.18
Anhui,2026-04-27 00:00,Import,Import_Xinjiang,11880.00,265.52,39605.18
Anhui,2026-04-27 00:00,Congestion,Rent_link_0_Xinjiang_Anhui,0.00,294.07,39605.18
Anhui,2026-04-27 00:00,Import,Import_Xinjiang,11880.00,265.52,39605.18
Anhui,2026-04-27 00:00,Congestion,Rent_link_1_Xinjiang_Anhui,0.00,294.07,39605.18
Anhui,2026-04-27 00:00,Import,Import_Ningxia,7920.00,262.86,39605.18
Anhui,2026-04-27 00:00,Congestion,Rent_link_66_Ningxia_Anhui,0.00,294.07,39605.18
Anhui,2026-04-27 00:00,Storage,Discharge_pumped_3323,204.56,294.07,39605.18
Anhui,2026-04-27 00:00,Storage,Discharge_battery_3324,146.76,294.07,39605.18
Beijing,2026-04-27 00:00,Generator,gas_gen__3201,5389.41,350.00,11180.00
Beijing,2026-04-27 00:00,Generator,hydro_gen__3252,371.38,0.00,11180.00
Beijing,2026-04-27 00:00,Generator,onwind_gen__3253,73.21,0.00,11180.00
Beijing,2026-04-27 00:00,Import,Import_HEBEI_NORTH,2970.00,265.69,11180.00
Beijing,2026-04-27 00:00,Congestion,Rent_link_11_HEBEI_NORTH_Beijing__fwd,0.00,350.00,11180.00
Beijing,2026-04-27 00:00,Import,Import_Tianjin,2376.00,260.81,11180.00
Beijing,2026-04-27 00:00,Congestion,Rent_link_95_Beijing_Tianjin__rev,0.00,350.00,11180.00
Chongqing,2026-04-27 00:00,Generator,coal_gen__313,660.00,279.79,21596.13
Chongqing,2026-04-27 00:00,Generator,coal_gen__314,660.00,279.79,21596.13
Chongqing,2026-04-27 00:00,Generator,coal_gen__317,1000.00,279.79,21596.13
Chongqing,2026-04-27 00:00,Generator,coal_gen__318,1000.00,279.79,21596.13
Chongqing,2026-04-27 00:00,Generator,hydro_gen__3351,2413.98,0.00,21596.13
Chongqing,2026-04-27 00:00,Generator,onwind_gen__3352,576.54,0.00,21596.13
Chongqing,2026-04-27 00:00,Import,Import_Xinjiang,7920.00,265.52,21596.13
Chongqing,2026-04-27 00:00,Congestion,Rent_link_60_Xinjiang_Chongqing,0.00,291.13,21596.13
