bus,snapshot,type,label,capacity,cost,net_demand
Anhui,2026-09-26 00:00,Generator,coal_gen__8,49.08,294.07,37933.96
Anhui,2026-09-26 00:00,Generator,coal_gen__9,49.08,294.07,37933.96
Anhui,2026-09-26 00:00,Generator,coal_gen__10,49.08,294.07,37933.96
Anhui,2026-09-26 00:00,Generator,coal_gen__11,49.08,294.07,37933.96
Anhui,2026-09-26 00:00,Generator,coal_gen__12,49.08,294.07,37933.96
Anhui,2026-09-26 00:00,Generator,coal_gen__19,49.08,294.07,37933.96
Anhui,2026-09-26 00:00,Generator,coal_gen__20,49.08,294.07,37933.96
Anhui,2026-09-26 00:00,Generator,coal_gen__23,98.67,294.07,37933.96
Anhui,2026-09-26 00:00,Generator,coal_gen__24,98.67,294.07,37933.96
Anhui,2026-09-26 00:00,Generator,coal_gen__629,49.08,294.07,37933.96
Anhui,2026-09-26 00:00,Generator,coal_gen__630,49.08,294.07,37933.96
Anhui,2026-09-26 00:00,Generator,coal_gen__864,49.08,294.07,37933.96
Anhui,2026-09-26 00:00,Generator,coal_gen__865,49.08,294.07,37933.96
Anhui,2026-09-26 00:00,Generator,coal_gen__867,264.47,294.07,37933.96
Anhui,2026-09-26 00:00,Generator,coal_gen__1068,49.08,294.07,37933.96
Anhui,2026-09-26 00:00,Generator,coal_gen__1069,49.08,294.07,37933.96
Anhui,2026-09-26 00:00,Generator,coal_gen__1070,455.53,294.07,37933.96
Anhui,2026-09-26 00:00,Generator,coal_gen__1073,49.08,294.07,37933.96
Anhui,2026-09-26 00:00,Generator,coal_gen__1074,49.08,294.07,37933.96
Anhui,2026-09-26 00:00,Generator,coal_gen__1083,49.08,294.07,37933.96
Anhui,2026-09-26 00:00,Generator,coal_gen__1084,49.08,294.07,37933.96
Anhui,2026-09-26 00:00,Generator,coal_gen__1619,98.67,294.07,37933.96
Anhui,2026-09-26 00:00,Generator,coal_gen__1620,98.67,294.07,37933.96
Anhui,2026-09-26 00:00,Generator,coal_gen__1621,49.08,294.07,37933.96
Anhui,2026-09-26 00:00,Generator,coal_gen__1622,49.08,294.07,37933.96
Anhui,2026-09-26 00:00,Generator,coal_gen__1642,49.08,294.07,37933.96
Anhui,2026-09-26 00:00,Generator,coal_gen__1643,49.08,294.07,37933.96
Anhui,2026-09-26 00:00,Generator,coal_gen__1690,49.08,294.07,37933.96
Anhui,2026-09-26 00:00,Generator,coal_gen__1691,49.08,294.07,37933.96
Anhui,2026-09-26 00:00,Generator,coal_gen__1915,98.67,294.07,37933.96
Anhui,2026-09-26 00:00,Generator,coal_gen__1916,98.67,294.07,37933.96
Anhui,2026-09-26 00:00,Generator,coal_gen__2367,98.67,294.07,37933.96
Anhui,2026-09-26 00:00,Generator,coal_gen__2509,98.67,294.07,37933.96
Anhui,2026-09-26 00:00,Generator,coal_gen__2510,98.67,294.07,37933.96
Anhui,2026-09-26 00:00,Generator,coal_gen__2637,49.08,294.07,37933.96
Anhui,2026-09-26 00:00,Generator,coal_gen__2638,49.08,294.07,37933.96
Anhui,2026-09-26 00:00,Generator,coal_gen__2639,98.67,294.07,37933.96
Anhui,2026-09-26 00:00,Generator,coal_gen__2640,49.08,294.07,37933.96
Anhui,2026-09-26 00:00,Generator,coal_gen__2641,49.08,294.07,37933.96
Anhui,2026-09-26 00:00,Generator,hydro_gen__3320,2692.52,0.00,37933.96
Anhui,2026-09-26 00:00,Generator,onwind_gen__3321,345.45,0.00,37933.96
Anhui,2026-09-26 00:00,Import,Import_Xinjiang,11880.00,276.22,37933.96
Anhui,2026-09-26 00:00,Congestion,Rent_link_0_Xinjiang_Anhui,0.00,294.07,37933.96
Anhui,2026-09-26 00:00,Import,Import_Xinjiang,11880.00,276.22,37933.96
Anhui,2026-09-26 00:00,Congestion,Rent_link_1_Xinjiang_Anhui,0.00,294.07,37933.96
Anhui,2026-09-26 00:00,Import,Import_Ningxia,7920.00,273.46,37933.96
Anhui,2026-09-26 00:00,Congestion,Rent_link_66_Ningxia_Anhui,0.00,294.07,37933.96
Anhui,2026-09-26 00:00,Storage,Discharge_pumped_3323,118.63,294.07,37933.96
Anhui,2026-09-26 00:00,Storage,Discharge_battery_3324,65.59,294.07,37933.96
Beijing,2026-09-26 00:00,Generator,gas_gen__3201,4881.68,350.00,10920.00
Beijing,2026-09-26 00:00,Generator,hydro_gen__3252,673.13,0.00,10920.00
Beijing,2026-09-26 00:00,Generator,onwind_gen__3253,19.19,0.00,10920.00
Beijing,2026-09-26 00:00,Import,Import_HEBEI_NORTH,2970.00,272.31,10920.00
Beijing,2026-09-26 00:00,Congestion,Rent_link_11_HEBEI_NORTH_Beijing__fwd,0.00,350.00,10920.00
Beijing,2026-09-26 00:00,Import,Import_Tianjin,2376.00,260.81,10920.00
Beijing,2026-09-26 00:00,Congestion,Rent_link_95_Beijing_Tianjin__rev,0.00,350.00,10920.00
Chongqing,2026-09-26 00:00,Generator,coal_gen__313,660.00,279.79,23155.56
Chongqing,2026-09-26 00:00,Generator,coal_gen__314,660.00,279.79,23155.56
Chongqing,2026-09-26 00:00,Generator,coal_gen__317,1000.00,279.79,23155.56
Chongqing,2026-09-26 00:00,Generator,coal_gen__318,1000.00,279.79,23155.56
Chongqing,2026-09-26 00:00,Generator,hydro_gen__3351,4375.34,0.00,23155.56
Chongqing,2026-09-26 00:00,Generator,onwind_gen__3352,151.13,0.00,23155.56
Chongqing,2026-09-26 00:00,Import,Import_Xinjiang,7920.00,276.22,23155.56
Chongqing,2026-09-26 00:00,Congestion,Rent_link_60_Xinjiang_Chongqing,0.00,288.21,23155.56
Chongqing,2026-09-26 00:00,Import,Import_Hubei,4752.00,279.01,23155.56
Chongqing,2026-09-26 00:00,Congestion,Rent_link_87_Hubei_Chongqing__fwd,0.00,288.21,23155.56
Chongqing,2026-09-26 00:00,Import,Import_Guizhou,2613.60,274.59,23155.56
