bus,snapshot,type,label,capacity,cost,net_demand
Anhui,2026-06-05 00:00,Generator,coal_gen__8,23.49,286.93,37691.71
Anhui,2026-06-05 00:00,Generator,coal_gen__9,23.49,286.93,37691.71
Anhui,2026-06-05 00:00,Generator,coal_gen__10,23.49,286.93,37691.71
Anhui,2026-06-05 00:00,Generator,coal_gen__11,23.49,286.93,37691.71
Anhui,2026-06-05 00:00,Generator,coal_gen__12,23.49,286.93,37691.71
Anhui,2026-06-05 00:00,Generator,coal_gen__19,23.49,286.93,37691.71
Anhui,2026-06-05 00:00,Generator,coal_gen__20,23.49,286.93,37691.71
Anhui,2026-06-05 00:00,Generator,coal_gen__23,49.87,286.93,37691.71
Anhui,2026-06-05 00:00,Generator,coal_gen__24,49.87,286.93,37691.71
Anhui,2026-06-05 00:00,Generator,coal_gen__629,23.49,286.93,37691.71
Anhui,2026-06-05 00:00,Generator,coal_gen__630,23.49,286.93,37691.71
Anhui,2026-06-05 00:00,Generator,coal_gen__864,23.49,286.93,37691.71
Anhui,2026-06-05 00:00,Generator,coal_gen__865,23.49,286.93,37691.71
Anhui,2026-06-05 00:00,Generator,coal_gen__867,213.46,286.93,37691.71
Anhui,2026-06-05 00:00,Generator,coal_gen__1068,23.49,286.93,37691.71
Anhui,2026-06-05 00:00,Generator,coal_gen__1069,23.49,286.93,37691.71
Anhui,2026-06-05 00:00,Generator,coal_gen__1070,302.65,286.93,37691.71
Anhui,2026-06-05 00:00,Generator,coal_gen__1073,23.49,286.93,37691.71
Anhui,2026-06-05 00:00,Generator,coal_gen__1074,23.49,286.93,37691.71
Anhui,2026-06-05 00:00,Generator,coal_gen__1083,23.49,286.93,37691.71
Anhui,2026-06-05 00:00,Generator,coal_gen__1084,23.49,286.93,37691.71
Anhui,2026-06-05 00:00,Generator,coal_gen__1619,49.87,286.93,37691.71
Anhui,2026-06-05 00:00,Generator,coal_gen__1620,49.87,286.93,37691.71
Anhui,2026-06-05 00:00,Generator,coal_gen__1621,23.49,286.93,37691.71
Anhui,2026-06-05 00:00,Generator,coal_gen__1622,23.49,286.93,37691.71
Anhui,2026-06-05 00:00,Generator,coal_gen__1642,23.49,286.93,37691.71
Anhui,2026-06-05 00:00,Generator,coal_gen__1643,23.49,286.93,37691.71
Anhui,2026-06-05 00:00,Generator,coal_gen__1690,23.49,286.93,37691.71
Anhui,2026-06-05 00:00,Generator,coal_gen__1691,23.49,286.93,37691.71
Anhui,2026-06-05 00:00,Generator,coal_gen__1915,49.87,286.93,37691.71
Anhui,2026-06-05 00:00,Generator,coal_gen__1916,49.87,286.93,37691.71
Anhui,2026-06-05 00:00,Generator,coal_gen__2367,49.87,286.93,37691.71
Anhui,2026-06-05 00:00,Generator,coal_gen__2509,49.87,286.93,37691.71
Anhui,2026-06-05 00:00,Generator,coal_gen__2510,49.87,286.93,37691.71
Anhui,2026-06-05 00:00,Generator,coal_gen__2637,23.49,286.93,37691.71
Anhui,2026-06-05 00:00,Generator,coal_gen__2638,23.49,286.93,37691.71
Anhui,2026-06-05 00:00,Generator,coal_gen__2639,49.87,286.93,37691.71
Anhui,2026-06-05 00:00,Generator,coal_gen__2640,23.49,286.93,37691.71
Anhui,2026-06-05 00:00,Generator,coal_gen__2641,23.49,286.93,37691.71
Anhui,2026-06-05 00:00,Generator,hydro_gen__3320,2971.06,0.00,37691.71
Anhui,2026-06-05 00:00,Generator,onwind_gen__3321,1177.08,0.00,37691.71
Anhui,2026-06-05 00:00,Import,Import_Xinjiang,11880.00,262.86,37691.71
Anhui,2026-06-05 00:00,Congestion,Rent_link_0_Xinjiang_Anhui,0.00,286.93,37691.71
Anhui,2026-06-05 00:00,Import,Import_Xinjiang,11880.00,262.86,37691.71
Anhui,2026-06-05 00:00,Congestion,Rent_link_1_Xinjiang_Anhui,0.00,286.93,37691.71
Anhui,2026-06-05 00:00,Import,Import_Ningxia,7920.00,260.23,37691.71
Anhui,2026-06-05 00:00,Congestion,Rent_link_66_Ningxia_Anhui,0.00,286.93,37691.71
Anhui,2026-06-05 00:00,Storage,Discharge_pumped_3323,63.11,286.93,37691.71
Anhui,2026-06-05 00:00,Storage,Discharge_battery_3324,151.35,286.93,37691.71
Beijing,2026-06-05 00:00,Generator,gas_gen__3201,8178.89,350.00,14333.05
Beijing,2026-06-05 00:00,Generator,hydro_gen__3252,742.76,0.00,14333.05
Beijing,2026-06-05 00:00,Generator,onwind_gen__3253,65.39,0.00,14333.05
Beijing,2026-06-05 00:00,Import,Import_HEBEI_NORTH,2970.00,262.86,14333.05
Beijing,2026-06-05 00:00,Congestion,Rent_link_11_HEBEI_NORTH_Beijing__fwd,0.00,350.00,14333.05
Beijing,2026-06-05 00:00,Import,Import_Tianjin,2376.00,260.81,14333.05
Beijing,2026-06-05 00:00,Congestion,Rent_link_95_Beijing_Tianjin__rev,0.00,350.00,14333.05
Chongqing,2026-06-05 00:00,Generator,coal_gen__313,660.00,272.65,24017.57
Chongqing,2026-06-05 00:00,Generator,coal_gen__314,660.00,272.65,24017.57
Chongqing,2026-06-05 00:00,Generator,coal_gen__317,1000.00,272.65,24017.57
Chongqing,2026-06-05 00:00,Generator,coal_gen__318,1000.00,272.65,24017.57
Chongqing,2026-06-05 00:00,Generator,hydro_gen__3351,4827.97,0.00,24017.57
Chongqing,2026-06-05 00:00,Generator,onwind_gen__3352,514.97,0.00,24017.57
Chongqing,2026-06-05 00:00,Import,Import_Xinjiang,7920.00,262.86,24017.57
Chongqing,2026-06-05 00:00,Congestion,Rent_link_60_Xinjiang_Chongqing,0.00,281.22,24017.57
Chongqing,2026-06-05 00:00,Import,Import_Hubei,4752.00,265.52,24017.57
Chongqing,2026-06-05 00:00,Congestion,Rent_link_87_Hubei_Chongqing__fwd,0.00,281.22,24017.57
Chongqing,2026-06-05 00:00,Import,Import_Guizhou,2613.60,274.59,24017.57
Chongqing,2026-06-05 00:00,Congestion,Rent_link_96_Guizhou_Chongqing__fwd,0.00,281.22,24017.57
Chongqing,2026-06-05 00:00,Storage,Discharge_pumped_3354,16.37,281.22,24017.57
Chongqing,2026-06-05 00:00,Storage,Discharge_battery_3355,52.67,281.22,24017.57
Fujian,2026-06-05 00:00,Generator,coal_gen__588,452.43,286.93,39967.15
Fujian,2026-06-05 00:00,Generator,coal_gen__589,452.43,286.93,39967.15
Fujian,2026-06-05 00:00,Generator,coal_gen__594,306.11,286.93,39967.15
Fujian,2026-06-05 00:00,Generator,coal_gen__595,306.11,286.93,39967.15
Fujian,2026-06-05 00:00,Generator,coal_gen__637,452.43,286.93,39967.15
Fujian,2026-06-05 00:00,Generator,coal_gen__638,452.43,286.93,39967.15
Fujian,2026-06-05 00:00,Generator,coal_gen__1111,306.11,286.93,39967.15
Fujian,2026-06-05 00:00,Generator,coal_gen__1112,306.11,286.93,39967.15
Fujian,2026-06-05 00:00,Generator,coal_gen__1149,306.11,286.93,39967.15
Fujian,2026-06-05 00:00,Generator,coal_gen__1150,306.11,286.93,39967.15
Fujian,2026-06-05 00:00,Generator,coal_gen__1673,452.43,286.93,39967.15
Fujian,2026-06-05 00:00,Generator,coal_gen__1674,452.43,286.93,39967.15
Fujian,2026-06-05 00:00,Generator,coal_gen__1728,452.43,286.93,39967.15
Fujian,2026-06-05 00:00,Generator,coal_gen__1729,452.43,286.93,39967.15
Fujian,2026-06-05 00:00,Generator,nuclear_gen__3325,13000.00,20.00,39967.15
Fujian,2026-06-05 00:00,Generator,hydro_gen__3326,10770.08,0.00,39967.15
Fujian,2026-06-05 00:00,Generator,onwind_gen__3327,1144.38,0.00,39967.15
Fujian,2026-06-05 00:00,Generator,offwind_gen__3328,686.63,0.00,39967.15
Fujian,2026-06-05 00:00,Import,Import_Xinjiang,8910.00,262.86,39967.15
Fujian,2026-06-05 00:00,Congestion,Rent_link_63_Xinjiang_Fujian,0.00,286.93,39967.15
Gansu,2026-06-05 00:00,Generator,coal_gen__641,330.00,213.85,39620.14
Gansu,2026-06-05 00:00,Generator,coal_gen__642,330.00,213.85,39620.14
Gansu,2026-06-05 00:00,Generator,coal_gen__645,300.00,195.60,39620.14
Gansu,2026-06-05 00:00,Generator,coal_gen__646,300.00,195.60,39620.14
Gansu,2026-06-05 00:00,Generator,coal_gen__647,350.00,195.60,39620.14
Gansu,2026-06-05 00:00,Generator,coal_gen__648,350.00,195.60,39620.14
Gansu,2026-06-05 00:00,Generator,coal_gen__649,660.00,195.60,39620.14
Gansu,2026-06-05 00:00,Generator,coal_gen__650,660.00,195.60,39620.14
Gansu,2026-06-05 00:00,Generator,coal_gen__651,145.00,213.85,39620.14
Gansu,2026-06-05 00:00,Generator,coal_gen__652,145.00,213.85,39620.14
Gansu,2026-06-05 00:00,Generator,coal_gen__653,330.00,213.85,39620.14
Gansu,2026-06-05 00:00,Generator,coal_gen__654,330.00,213.85,39620.14
Gansu,2026-06-05 00:00,Generator,coal_gen__655,330.00,213.85,39620.14
Gansu,2026-06-05 00:00,Generator,coal_gen__656,330.00,213.85,39620.14
Gansu,2026-06-05 00:00,Generator,coal_gen__657,1000.00,183.44,39620.14
Gansu,2026-06-05 00:00,Generator,coal_gen__658,1000.00,183.44,39620.14
Gansu,2026-06-05 00:00,Generator,coal_gen__715,1000.00,183.44,39620.14
Gansu,2026-06-05 00:00,Generator,coal_gen__716,1000.00,183.44,39620.14
Gansu,2026-06-05 00:00,Generator,coal_gen__717,1000.00,183.44,39620.14
Gansu,2026-06-05 00:00,Generator,coal_gen__718,1000.00,183.44,39620.14
Gansu,2026-06-05 00:00,Generator,coal_gen__1346,350.00,195.60,39620.14
Gansu,2026-06-05 00:00,Generator,coal_gen__1347,350.00,195.60,39620.14
Gansu,2026-06-05 00:00,Generator,coal_gen__1348,350.00,195.60,39620.14
Gansu,2026-06-05 00:00,Generator,coal_gen__1349,350.00,195.60,39620.14
Gansu,2026-06-05 00:00,Generator,coal_gen__1367,330.00,213.85,39620.14
Gansu,2026-06-05 00:00,Generator,coal_gen__1368,330.00,213.85,39620.14
Gansu,2026-06-05 00:00,Generator,coal_gen__1371,150.00,213.85,39620.14
Gansu,2026-06-05 00:00,Generator,coal_gen__1372,150.00,213.85,39620.14
Gansu,2026-06-05 00:00,Generator,coal_gen__1390,660.00,195.60,39620.14
Gansu,2026-06-05 00:00,Generator,coal_gen__1391,660.00,195.60,39620.14
Gansu,2026-06-05 00:00,Generator,coal_gen__1398,220.00,213.85,39620.14
Gansu,2026-06-05 00:00,Generator,coal_gen__1399,220.00,213.85,39620.14
Gansu,2026-06-05 00:00,Generator,coal_gen__1400,220.00,213.85,39620.14
Gansu,2026-06-05 00:00,Generator,coal_gen__1401,220.00,213.85,39620.14
Gansu,2026-06-05 00:00,Generator,coal_gen__1402,320.00,213.85,39620.14
Gansu,2026-06-05 00:00,Generator,coal_gen__1403,320.00,213.85,39620.14
Gansu,2026-06-05 00:00,Generator,coal_gen__1404,300.00,213.85,39620.14
Gansu,2026-06-05 00:00,Generator,coal_gen__1405,300.00,213.85,39620.14
Gansu,2026-06-05 00:00,Generator,coal_gen__1447,300.00,213.85,39620.14
Gansu,2026-06-05 00:00,Generator,coal_gen__1448,125.00,213.85,39620.14
Gansu,2026-06-05 00:00,Generator,coal_gen__1449,125.00,213.85,39620.14
Gansu,2026-06-05 00:00,Generator,coal_gen__1450,300.00,213.85,39620.14
Gansu,2026-06-05 00:00,Generator,coal_gen__1451,350.00,195.60,39620.14
Gansu,2026-06-05 00:00,Generator,coal_gen__1452,350.00,195.60,39620.14
Gansu,2026-06-05 00:00,Generator,coal_gen__1466,330.00,213.85,39620.14
Gansu,2026-06-05 00:00,Generator,coal_gen__1467,330.00,213.85,39620.14
Gansu,2026-06-05 00:00,Generator,coal_gen__1545,330.00,213.85,39620.14
Gansu,2026-06-05 00:00,Generator,coal_gen__1546,330.00,213.85,39620.14
Gansu,2026-06-05 00:00,Generator,coal_gen__1547,300.00,213.85,39620.14
Gansu,2026-06-05 00:00,Generator,coal_gen__1548,300.00,213.85,39620.14
Gansu,2026-06-05 00:00,Generator,coal_gen__1549,300.00,213.85,39620.14
Gansu,2026-06-05 00:00,Generator,coal_gen__1561,300.00,213.85,39620.14
