from_node,to_node,voltage_kv,ac_dc,circuits,capacity_mw,length_km,status,commission_year,as_of,line_name_cn,notes,source
Sichuan,Hunan,800,DC,1,8000,,in_service,2021,01.01.26,雅湖直流（四川雅中—湖南±800kV）,NEA表6,NEA Table 6 (2024 DC UHV utilization; published 2025-11-13)
Sichuan,Jiangsu,800,DC,1,8000,,in_service,2022,01.01.26,建苏直流（四川江油/建瓯—江苏±800kV）,NEA表6,NEA Table 6 (2024 DC UHV utilization; published 2025-11-13)
Sichuan,Jiangsu,800,DC,1,7200,,in_service,2012,01.01.26,锦苏直流（锦屏—苏南±800kV）,NEA表6,NEA Table 6 (2024 DC UHV utilization; published 2025-11-13)
Tibet,Zhejiang,800,DC,1,8000,,in_service,2025,01.01.26,金塘直流（金上—浙江塘栖±800kV）,NEA表6,NEA Table 6 (2024 DC UHV utilization; published 2025-11-13)
Xinjiang,Henan,800,DC,1,8000,,in_service,2021,01.01.26,天中直流（天山—中州±800kV）,NEA表6,NEA Table 6 (2024 DC UHV utilization; published 2025-11-13)
Yunnan,Guangdong,800,DC,1,5000,1374,in_service,2010,01.01.26,云南—广东±800kV特高压直流输电示范工程,,inter_provincial_lines_202509.xlsx::2025-09已建成
Yunnan,Guangdong,800,DC,1,5000,,in_service,2013,01.01.26,宾金直流（宾川—深圳金湾±800kV）,NEA表6,NEA Table 6 (2024 DC UHV utilization; published 2025-11-13)
Yunnan,Guangdong,800,DC,1,9000,,in_service,2020,01.01.26,昆柳龙直流（云南昆北—广东柳州/龙门±800kV）,NEA表6（三端，等效Yunnan→Guangdong）,NEA Table 6 (2024 DC UHV utilization; published 2025-11-13)
Yunnan,Guangdong,800,DC,1,8000,,in_service,2013,01.01.26,普侨直流（云南普洱—广东侨城±800kV）,NEA表6,NEA Table 6 (2024 DC UHV utilization; published 2025-11-13)
Yunnan,Guizhou,800,DC,1,3000,,in_service,2020,01.01.26,禄高肇直流（禄高段）,,inter_provincial_lines_202509.xlsx::2025-09已建成
Yunnan,Shandong,800,DC,1,8000,,in_service,2022,01.01.26,昭沂直流（昭通—沂南±800kV）,NEA表6,NEA Table 6 (2024 DC UHV utilization; published 2025-11-13)
Sichuan,Shanghai,800,DC,1,3000,,in_service,2010,01.01.26,复奉直流（复州—奉贤±500kV）,NEA表6,NEA Table 6 (2024 DC UHV utilization; published 2025-11-13)
Gansu,Ningxia,750,AC,1,10000,,in_service,2005,01.01.26,西北750千伏主网架首期互联（含甘宁）-代表性断面,,https://www.gov.cn/ztzl/2005-10/21/content_80865.htm
Gansu,Qinghai,750,AC,1,15000,141,in_service,2005,01.01.26,官亭—兰州东750千伏输变电示范工程（甘青联网）,,https://www.gov.cn/ztzl/2005-10/21/content_80865.htm
Shaanxi,Gansu,750,AC,1,10000,,in_service,2005,01.01.26,西北750千伏主网架首期互联（含陕甘）-代表性断面,,https://www.gov.cn/ztzl/2005-10/21/content_80865.htm
Gansu,Xinjiang,750,AC,1,10000,,in_service,2010,01.01.26,新疆与西北750千伏联网工程（甘新联网）,,https://news.sina.cn/sa/2010-11-03/detail-ikmxzfmk0321209.d.html
Ningxia,Shandong,660,DC,1,4000,1334,in_service,2011,01.01.26,±660千伏银川-东营直流输电工程,,inter_provincial_lines_202509.xlsx::2025-09已建成
Heilongjiang,Jilin,500,AC,1,4800,,in_service,1998,01.01.26,合南1号线500kV工程（黑吉联络，哈尔滨—长春）,,https://www.xachjs.com/ynnews-20220802-19170.html
Hubei,Chongqing,500,AC,1,4800,,in_service,1998,01.01.26,长万一线500kV工程（鄂渝联络）,,https://www.cq.sgcc.com.cn/html/main/col8/2023-05/16/20230516143207078365198_1.html
Sichuan,Chongqing,500,AC,1,4800,,in_service,1998,01.01.26,三峡至万县500kV线路投产实现川渝与华中联网（代表性）,,https://zhuanlan.zhihu.com/p/81687534
HEBEI_SOUTH,Henan,500,AC,1,1000,,in_service,2003,01.01.26,新乡—邯郸500kV输电线路投产（冀豫联络，代表性）,公开资料仅检索到2003年投产信息（需进一步核实具体线路名称与参数）。,https://zhuanlan.zhihu.com/p/81687534
Guangxi,Guangdong,500,AC,1,9600,,in_service,2008,01.01.26,桂山甲线等500kV工程（桂粤联络，代表性）,,https://www.news.cn/energy/20181214/c_1123850710.htm
Guizhou,Guangxi,500,AC,1,7200,,in_service,2008,01.01.26,黎桂甲/乙线等500kV工程（黔桂联络，代表性）,,https://www.news.cn/energy/20181214/c_1123850710.htm; https://www.chinabidding.cn/public/20181212/112202415.shtml
Guangdong,Hainan,500,AC,1,1200,,in_service,2009,01.01.26,海南联网工程（广东—海南500kV海底电缆）,,https://www.sasac.gov.cn/n2588025/n2588124/c15104509/content.html
Liaoning,HEBEI_NORTH,500,AC,1,2000,,in_service,2013,01.01.26,绥中—秦皇岛500kV线路工程（辽冀联络）,,https://m.thepaper.cn/newsDetail_forward_22095446
Sichuan,Tibet,500,AC,1,600,,in_service,2014,01.01.26,川藏联网工程500kV（四川—西藏）,,https://www.news.cn/politics/20241119/5fcf8e3b6e3c4e3c9b2f69b7cfb2b26d/c.html
Beijing,Tianjin,500,AC,1,2400,,in_service,2019,01.01.26,房山—南蔡500千伏线路工程（京津联络）,,https://www.cwc.net.cn/mobile/news/show-7416.html
Guizhou,Chongqing,500,AC,1,2640,,in_service,2025,01.01.26,渝黔电网“一厂两网”500千伏工程（代表性渝黔联络）,贵州电网首个“一厂两网”工程投运，实现渝黔双向调节；该条目用作500kV渝黔联络代表。,https://www.cpem.org.cn/list2/107728.html
Hubei,Hunan,500,AC,1,3600,,in_service,2005,01.01.26,HB (Hubei)—HN (Hunan) 500kV 交流,,Interprovincial-AC_DC.xlsx::AC
Hubei,Jiangxi,500,AC,1,3600,,in_service,2005,01.01.26,HB (Hubei)—JX (Jiangxi) 500kV 交流,,Interprovincial-AC_DC.xlsx::AC
Jiangsu,Zhejiang,500,AC,1,3600,,in_service,2005,01.01.26,JS (Jiangsu)—ZJ (Zhejiang) 500kV 交流,,Interprovincial-AC_DC.xlsx::AC
Jilin,Liaoning,500,AC,1,4800,,in_service,2005,01.01.26,JL (Jilin)—LN (Liaoning) 500kV 交流,,Interprovincial-AC_DC.xlsx::AC
NM_EAST,Heilongjiang,500,AC,1,2400,,in_service,2005,01.01.26,NM (Inner Mongolia)—HL (Heilongjiang) 500kV 交流,,Interprovincial-AC_DC.xlsx::AC
NM_EAST,Jilin,500,AC,1,3600,,in_service,2005,01.01.26,NM (Inner Mongolia)—JL (Jilin) 500kV 交流,,Interprovincial-AC_DC.xlsx::AC
NM_EAST,Liaoning,500,AC,1,7200,718.3,in_service,2024,01.01.26,巴林—奈曼—阜新500kV输变电工程（内蒙古—辽宁）,,https://www.xinhuanet.com/fortune/20240621/a0dfa1f8ce4848de85e8ddc20e2504eb/c.html
Shaanxi,HEBEI_SOUTH,500,AC,1,3000,,operating,2006,16.01.26,陕西神木—河北南网500千伏输电工程,国家能源局信息：2006年正式投入运行,NEA 2014-07-10
Yunnan,Guangxi,500,DC,1,4800,,in_service,2014,01.01.26,YN (Yunnan)—GX (Guangxi) 500kV 交流 (±500KV富宁换流站),,Interprovincial-AC_DC.xlsx::AC
Fujian,Guangdong,100,DC,1,2000,,in_service,2022,02.01.26,闽粤联网工程联网容量200万千瓦,,https://www.news.cn/fortune/2022-09/30/c_1129044574.htm
Guizhou,Guangdong,500,DC,1,3000,,in_service,2020,01.01.26,云贵互联通道（高坡—肇庆）±500kV三端直流-省际段,世界首个±500kV三端直流：云南禄劝—贵州高坡—广东肇庆，总容量3000MW，线路全长约1280km；此表按省际段拆分。,https://www.sasac.gov.cn/n2588025/n2588124/c14842616/content.html; https://yn.people.com.cn/BIG5/n2/2022/0923/c372455-40137058-4.html
Yunnan,Guizhou,500,DC,1,3000,,in_service,2020,01.01.26,云贵互联通道（禄劝—高坡）±500kV三端直流-省际段,世界首个±500kV三端直流：云南禄劝—贵州高坡—广东肇庆，总容量3000MW，线路全长约1280km；此表按省际段拆分。,https://www.sasac.gov.cn/n2588025/n2588124/c14842616/content.html; https://yn.people.com.cn/BIG5/n2/2022/0923/c372455-40137058-4.html
