region_grid,province,Zone,node,Resource,technology,cluster,R_ID,COAL,GAS,NUCLEAR,HYDRO,ONWIND,OFFWIND,SOLAR,PUMPED,BATTERY,OTHER,Commit,Existing_Cap_MW,num_units,unmodified_existing_cap_mw,Cap_Size,Var_OM_Cost_per_MWh,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,Heat_Rate_MMBTU_per_MWh,Fuel,Min_Power,Eff_Up,Eff_Down,Ramp_Up_Percentage,Ramp_Dn_Percentage,status,start_year,retired_year,gen_id
EastChina,Fujian,FJ,Fujian,Fujian Hongshan power station Phase II Unit 4,ultra_supercritical_coal,1,G100000102817,1,0,0,0,0,0,0,0,0,0,1,1000.0,1,1000.0,1000.0,5,30,0,8.8,coal,0.4,0.387727273,0.387727273,0.5,0.5,operating,2015.0,,589
EastChina,Fujian,FJ,Fujian,Fujian Jinnan Cogen power station Unit 1,conventional_steam_coal,1,G100000113659,1,0,0,0,0,0,0,0,0,0,1,30.0,1,30.0,30.0,5,30,0,10.3,coal,0.4,0.331262136,0.331262136,0.5,0.5,operating,2019.0,,590
EastChina,Fujian,FJ,Fujian,Fujian Jinnan Cogen power station Unit 2,conventional_steam_coal,1,G100000113660,1,0,0,0,0,0,0,0,0,0,1,30.0,1,30.0,30.0,5,30,0,10.3,coal,0.4,0.331262136,0.331262136,0.5,0.5,operating,2020.0,,591
EastChina,Fujian,FJ,Fujian,Fujian Putian Shimen'ao Cogen power station Phase II Unit 3,conventional_steam_coal,1,G100000115330,1,0,0,0,0,0,0,0,0,0,1,80.0,1,80.0,80.0,5,30,0,10.3,coal,0.4,0.331262136,0.331262136,0.5,0.5,operating,2023.0,,592
EastChina,Fujian,FJ,Fujian,Fujian Putian Shimen'ao Cogen power station Phase II Unit 4,conventional_steam_coal,1,G100000115331,1,0,0,0,0,0,0,0,0,0,1,80.0,1,80.0,80.0,5,30,0,10.3,coal,0.4,0.331262136,0.331262136,0.5,0.5,operating,2024.0,,593
EastChina,Fujian,FJ,Fujian,Fujian Shaowu power station Phase III Unit 3,ultra_supercritical_coal,1,G100000104110,1,0,0,0,0,0,0,0,0,0,1,660.0,1,660.0,660.0,5,30,0,8.8,coal,0.4,0.387727273,0.387727273,0.5,0.5,operating,2018.0,,594
EastChina,Fujian,FJ,Fujian,Fujian Shaowu power station Phase III Unit 4,ultra_supercritical_coal,1,G100000104111,1,0,0,0,0,0,0,0,0,0,1,660.0,1,660.0,660.0,5,30,0,8.8,coal,0.4,0.387727273,0.387727273,0.5,0.5,operating,2019.0,,595
NortheastChina,Heilongjiang,HL,Heilongjiang,Fulaerji-1 power station Phase I Unit 10,supercritical_coal,1,G100000104032,1,0,0,0,0,0,0,0,0,0,1,350.0,1,350.0,350.0,5,30,0,9.4,coal,0.4,0.362978723,0.362978723,0.5,0.5,operating,2016.0,,596
NortheastChina,Heilongjiang,HL,Heilongjiang,Fulaerji-2 power station Unit 1,conventional_steam_coal,1,G100000104026,1,0,0,0,0,0,0,0,0,0,1,200.0,1,200.0,200.0,5,30,0,10.3,coal,0.4,0.331262136,0.331262136,0.5,0.5,operating,1982.0,,597
NortheastChina,Heilongjiang,HL,Heilongjiang,Fulaerji-2 power station Unit 2,conventional_steam_coal,1,G100000104027,1,0,0,0,0,0,0,0,0,0,1,200.0,1,200.0,200.0,5,30,0,10.3,coal,0.4,0.331262136,0.331262136,0.5,0.5,operating,1983.0,,598
NortheastChina,Heilongjiang,HL,Heilongjiang,Fulaerji-2 power station Unit 3,conventional_steam_coal,1,G100000104028,1,0,0,0,0,0,0,0,0,0,1,200.0,1,200.0,200.0,5,30,0,10.3,coal,0.4,0.331262136,0.331262136,0.5,0.5,operating,1984.0,,599
NortheastChina,Heilongjiang,HL,Heilongjiang,Fulaerji-2 power station Unit 4,conventional_steam_coal,1,G100000104029,1,0,0,0,0,0,0,0,0,0,1,200.0,1,200.0,200.0,5,30,0,10.3,coal,0.4,0.331262136,0.331262136,0.5,0.5,operating,1987.0,,600
NortheastChina,Heilongjiang,HL,Heilongjiang,Fulaerji-2 power station Unit 5,conventional_steam_coal,1,G100000104030,1,0,0,0,0,0,0,0,0,0,1,200.0,1,200.0,200.0,5,30,0,10.3,coal,0.4,0.331262136,0.331262136,0.5,0.5,operating,1988.0,,601
NortheastChina,Heilongjiang,HL,Heilongjiang,Fulaerji-2 power station Unit 6,conventional_steam_coal,1,G100000104031,1,0,0,0,0,0,0,0,0,0,1,200.0,1,200.0,200.0,5,30,0,10.3,coal,0.4,0.331262136,0.331262136,0.5,0.5,operating,1989.0,,602
NorthwestChina,Shaanxi,SN,Shaanxi,Fuping Cogen power station Unit 1,supercritical_coal,1,G100000102830,1,0,0,0,0,0,0,0,0,0,1,350.0,1,350.0,350.0,5,30,0,9.4,coal,0.4,0.362978723,0.362978723,0.5,0.5,operating,2018.0,,603
NorthwestChina,Shaanxi,SN,Shaanxi,Fuping Cogen power station Unit 2,supercritical_coal,1,G100000102831,1,0,0,0,0,0,0,0,0,0,1,350.0,1,350.0,350.0,5,30,0,9.4,coal,0.4,0.362978723,0.362978723,0.5,0.5,operating,2018.0,,604
EastChina,Jiangsu,JS,Jiangsu,Fuqiang New Material power station Unit 1,conventional_steam_coal,1,G100000114048,1,0,0,0,0,0,0,0,0,0,1,40.0,1,40.0,40.0,5,30,0,10.3,coal,0.4,0.331262136,0.331262136,0.5,0.5,operating,2021.0,,605
EastChina,Jiangsu,JS,Jiangsu,Fuqiang New Material power station Unit 2,conventional_steam_coal,1,G100000114049,1,0,0,0,0,0,0,0,0,0,1,40.0,1,40.0,40.0,5,30,0,10.3,coal,0.4,0.331262136,0.331262136,0.5,0.5,operating,2021.0,,606
NortheastChina,Liaoning,LN,Liaoning,Fushun CPI power station Unit 3,conventional_steam_coal,1,G100000102834,1,0,0,0,0,0,0,0,0,0,1,300.0,1,300.0,300.0,5,30,0,10.3,coal,0.4,0.331262136,0.331262136,0.5,0.5,operating,2008.0,,607
NortheastChina,Liaoning,LN,Liaoning,Fushun CPI power station Unit 4,conventional_steam_coal,1,G100000102835,1,0,0,0,0,0,0,0,0,0,1,300.0,1,300.0,300.0,5,30,0,10.3,coal,0.4,0.331262136,0.331262136,0.5,0.5,operating,2008.0,,608
NortheastChina,Liaoning,LN,Liaoning,Fushun Zhongji power station Unit 1,conventional_steam_coal,1,G100000102836,1,0,0,0,0,0,0,0,0,0,1,300.0,1,300.0,300.0,5,30,0,10.3,coal,0.4,0.331262136,0.331262136,0.5,0.5,operating,2017.0,,609
