,datetime,Beijing,Tianjin,HEBEI_SOUTH,Shanxi,Shandong,HEBEI_NORTH,NM_EAST,Liaoning,Jilin,Heilongjiang,Shanghai,Jiangsu,Zhejiang,Anhui,Fujian,Jiangxi,Henan,Hubei,Hunan,Chongqing,Sichuan,Guangdong,Guangxi,Hainan,Guizhou,Yunnan,Shaanxi,Gansu,Qinghai,Ningxia,Xinjiang,NM_WEST,Tibet,Hongkong,Macao,Taiwan
15,2025-01-01 15:00:00+00:00,0.156521739,0.169565217,0.156521739,0.156521739,0.156521739,0.156521739,0.156521739,0.156521739,0.156521739,0.156521739,0.130434783,0.130434783,0.130434783,0.130434783,0.130434783,0.130434783,0.130434783,0.130434783,0.104347826,0.117391304,0.130434783,0.130434783,0.130434783,0.130434783,0.130434783,0.169565217,0.169565217,0.169565217,0.169565217,0.169565217,0.169565217,0.169565217,0.182608696,0,0,0
16,2025-01-01 16:00:00+00:00,0.036996047,0.040079051,0.036996047,0.036996047,0.036996047,0.036996047,0.036996047,0.036996047,0.036996047,0.036996047,0.03083004,0.03083004,0.03083004,0.03083004,0.03083004,0.03083004,0.03083004,0.03083004,0.024664032,0.027747036,0.03083004,0.03083004,0.03083004,0.03083004,0.03083004,0.040079051,0.040079051,0.040079051,0.040079051,0.040079051,0.040079051,0.040079051,0.043162055,0,0,0
17,2025-01-01 17:00:00+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,2025-01-01 18:00:00+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,2025-01-01 19:00:00+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,2025-01-01 20:00:00+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,2025-01-01 21:00:00+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,2025-01-01 22:00:00+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,2025-01-01 23:00:00+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,2025-01-02 00:00:00+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
