,datetime,Beijing,Tianjin,HEBEI_SOUTH,Shanxi,Shandong,HEBEI_NORTH,NM_EAST,Liaoning,Jilin,Heilongjiang,Shanghai,Jiangsu,Zhejiang,Anhui,Fujian,Jiangxi,Henan,Hubei,Hunan,Chongqing,Sichuan,Guangdong,Guangxi,Hainan,Guizhou,Yunnan,Shaanxi,Gansu,Qinghai,Ningxia,Xinjiang,NM_WEST,Tibet,Hongkong,Macao,Taiwan
4639,2025-07-13 07:00:00+00:00,0.006219458,0.005597512,0.006219458,0.005597512,0.005597512,0.006219458,0.007152377,0.007152377,0.007152377,0.00699689,0.006841404,0.006219458,0.051,0.004975566,0.008707241,0.006530431,0.006530431,0.005597512,0.005597512,0.006530431,0.007774323,0.005597512,0.008396268,0.005597512,0.005752999,0.008707241,0.006219458,0.006219458,0.006219458,0.006219458,0.006219458,0.007152377,0.006219458,0,0,0
4640,2025-07-13 08:00:00+00:00,0.001776988,0.001599289,0.001776988,0.001599289,0.001599289,0.001776988,0.002043536,0.002043536,0.002043536,0.001999112,0.001954687,0.001776988,0.037,0.00142159,0.002487783,0.001865837,0.001865837,0.001599289,0.001599289,0.001865837,0.002221235,0.001599289,0.002398934,0.001599289,0.001643714,0.002487783,0.001776988,0.001776988,0.001776988,0.001776988,0.001776988,0.002043536,0.001776988,0,0,0
4641,2025-07-13 09:00:00+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4642,2025-07-13 10:00:00+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0.054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4643,2025-07-13 11:00:00+00:00,0,0,0,0,0,0,0.001021768,0.001021768,0.001021768,0,0,0,0.082,0,0.001243892,0,0,0,0,0,0.001110618,0,0.001199467,0,0,0.001243892,0,0,0,0,0,0.001021768,0,0,0,0
4644,2025-07-13 12:00:00+00:00,0.001776988,0.001599289,0.001776988,0.001599289,0.001599289,0.001776988,0.002043536,0.002043536,0.002043536,0.001999112,0.001954687,0.001776988,0.102,0.00142159,0.002487783,0.001865837,0.001865837,0.001599289,0.001599289,0.001865837,0.002221235,0.001599289,0.002398934,0.001599289,0.001643714,0.002487783,0.001776988,0.001776988,0.001776988,0.001776988,0.001776988,0.002043536,0.001776988,0,0,0
4645,2025-07-13 13:00:00+00:00,0.006219458,0.005597512,0.006219458,0.005597512,0.005597512,0.006219458,0.007152377,0.007152377,0.007152377,0.00699689,0.006841404,0.006219458,0.087,0.004975566,0.008707241,0.006530431,0.006530431,0.005597512,0.005597512,0.006530431,0.007774323,0.005597512,0.008396268,0.005597512,0.005752999,0.008707241,0.006219458,0.006219458,0.006219458,0.006219458,0.006219458,0.007152377,0.006219458,0,0,0
4646,2025-07-13 14:00:00+00:00,0.015104398,0.013593958,0.015104398,0.013593958,0.013593958,0.015104398,0.017370058,0.017370058,0.017370058,0.016992448,0.016614838,0.015104398,0.071,0.012083518,0.021146157,0.015859618,0.015859618,0.013593958,0.013593958,0.015859618,0.018880498,0.013593958,0.020390937,0.013593958,0.013971568,0.021146157,0.015104398,0.015104398,0.015104398,0.015104398,0.015104398,0.017370058,0.015104398,0,0,0
4647,2025-07-13 15:00:00+00:00,0.025766326,0.023189693,0.025766326,0.023189693,0.023189693,0.025766326,0.029631275,0.029631275,0.029631275,0.028987117,0.028342959,0.025766326,0.087,0.020613061,0.036072857,0.027054642,0.027054642,0.023189693,0.023189693,0.027054642,0.032207908,0.023189693,0.03478454,0.023189693,0.023833852,0.036072857,0.025766326,0.025766326,0.025766326,0.025766326,0.025766326,0.029631275,0.025766326,0,0,0
4648,2025-07-13 16:00:00+00:00,0.042647712,0.038382941,0.042647712,0.038382941,0.038382941,0.042647712,0.049044869,0.049044869,0.049044869,0.047978676,0.046912483,0.042647712,0.107,0.03411817,0.059706797,0.044780098,0.044780098,0.038382941,0.038382941,0.044780098,0.05330964,0.038382941,0.057574411,0.038382941,0.039449134,0.059706797,0.042647712,0.042647712,0.042647712,0.042647712,0.042647712,0.049044869,0.042647712,0,0,0
