region_grid,province,Zone,node,Resource,technology,cluster,R_ID,COAL,GAS,NUCLEAR,HYDRO,ONWIND,OFFWIND,SOLAR,PUMPED,BATTERY,OTHER,Commit,Existing_Cap_MW,num_units,unmodified_existing_cap_mw,Cap_Size,Var_OM_Cost_per_MWh,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,Heat_Rate_MMBTU_per_MWh,Fuel,Min_Power,Eff_Up,Eff_Down,Ramp_Up_Percentage,Ramp_Dn_Percentage,status,start_year,retired_year
SouthernGrid,Guangdong,GD,Guangdong,Hengyun-D power station Unit 2,conventional_steam_coal,1,G100000103842,1,0,,,,,,,,0,1,330,1,330,330,5,30,0,10.3,coal,0.4,0.331262136,0.331262136,0.5,0.5,operating,2007,
SouthernGrid,Guangxi,GX,Guangxi,Heshan power station Unit 10,conventional_steam_coal,1,G100000102054,1,0,,,,,,,,0,1,330,1,330,330,5,30,0,10.3,coal,0.4,0.331262136,0.331262136,0.5,0.5,operating,2004,
SouthernGrid,Guangxi,GX,Guangxi,Heshan power station Unit 11,supercritical_coal,1,G100000102055,1,0,,,,,,,,0,1,670,1,670,670,5,30,0,9.4,coal,0.4,0.362978723,0.362978723,0.5,0.5,operating,2011,
SouthernGrid,Guangxi,GX,Guangxi,Heshan power station Unit 9,conventional_steam_coal,1,G100000102061,1,0,,,,,,,,0,1,330,1,330,330,5,30,0,10.3,coal,0.4,0.331262136,0.331262136,0.5,0.5,operating,2004,
NorthwestChina,Xinjiang,XJ,Xinjiang,Hesheng Shanshan power station Unit 1,supercritical_coal,1,G100000112460,1,0,,,,,,,,0,1,350,1,350,350,5,30,0,9.4,coal,0.4,0.362978723,0.362978723,0.5,0.5,operating,2018,
NorthwestChina,Xinjiang,XJ,Xinjiang,Hesheng Shanshan power station Unit 2,supercritical_coal,1,G100000112461,1,0,,,,,,,,0,1,350,1,350,350,5,30,0,9.4,coal,0.4,0.362978723,0.362978723,0.5,0.5,operating,2018,
NorthwestChina,Xinjiang,XJ,Xinjiang,Hesheng Xinjiang Xibu power station Unit 1,conventional_steam_coal,1,G100000103852,1,0,,,,,,,,0,1,330,1,330,330,5,30,0,10.3,coal,0.4,0.331262136,0.331262136,0.5,0.5,operating,2013,
NorthwestChina,Xinjiang,XJ,Xinjiang,Hesheng Xinjiang Xibu power station Unit 2,conventional_steam_coal,1,G100000112462,1,0,,,,,,,,0,1,330,1,330,330,5,30,0,10.3,coal,0.4,0.331262136,0.331262136,0.5,0.5,operating,2014,
SouthernGrid,Guangdong,GD,Guangdong,Heshuyuan power station Phase I Unit 1,conventional_steam_coal,1,G100000103854,1,0,,,,,,,,0,1,135,1,135,135,5,30,0,10.3,coal,0.4,0.331262136,0.331262136,0.5,0.5,operating,2005,
SouthernGrid,Guangdong,GD,Guangdong,Heshuyuan power station Phase I Unit 2,conventional_steam_coal,1,G100000103855,1,0,,,,,,,,0,1,135,1,135,135,5,30,0,10.3,coal,0.4,0.331262136,0.331262136,0.5,0.5,operating,2005,
SouthernGrid,Guangdong,GD,Guangdong,Heshuyuan power station Phase II Unit 3,conventional_steam_coal,1,G100000103856,1,0,,,,,,,,0,1,300,1,300,300,5,30,0,10.3,coal,0.4,0.331262136,0.331262136,0.5,0.5,operating,2008,
SouthernGrid,Guangdong,GD,Guangdong,Heshuyuan power station Phase II Unit 4,conventional_steam_coal,1,G100000103857,1,0,,,,,,,,0,1,300,1,300,300,5,30,0,10.3,coal,0.4,0.331262136,0.331262136,0.5,0.5,operating,2008,
SouthernGrid,Guangdong,GD,Guangdong,Heshuyuan power station Phase III Unit 5,conventional_steam_coal,1,G100000103858,1,0,,,,,,,,0,1,300,1,300,300,5,30,0,10.3,coal,0.4,0.331262136,0.331262136,0.5,0.5,operating,2012,
SouthernGrid,Guangdong,GD,Guangdong,Heshuyuan power station Phase III Unit 6,conventional_steam_coal,1,G100000103859,1,0,,,,,,,,0,1,300,1,300,300,5,30,0,10.3,coal,0.4,0.331262136,0.331262136,0.5,0.5,operating,2012,
