snapshot,Anhui,Beijing,Chongqing,Fujian,Gansu,Guangdong,Guangxi,Guizhou,HEBEI_NORTH,HEBEI_SOUTH,Hainan,Heilongjiang,Henan,Hubei,Hunan,Jiangsu,Jiangxi,Jilin,Liaoning,NM_EAST,NM_WEST,Ningxia,Qinghai,Shaanxi,Shandong,Shanghai,Shanxi,Sichuan,Tianjin,Tibet,Xinjiang,Yunnan,Zhejiang,Beijing__battery__bus__3255,Tianjin__battery__bus__3258,HEBEI_NORTH__pumped__bus__3262,HEBEI_NORTH__battery__bus__3263,HEBEI_SOUTH__pumped__bus__3267,HEBEI_SOUTH__battery__bus__3268,Shanxi__pumped__bus__3272,Shanxi__battery__bus__3273,Shandong__pumped__bus__3278,Shandong__battery__bus__3279,NM_EAST__pumped__bus__3283,NM_EAST__battery__bus__3284,Liaoning__pumped__bus__3290,Liaoning__battery__bus__3291,Jilin__pumped__bus__3295,Jilin__battery__bus__3296,Heilongjiang__pumped__bus__3300,Heilongjiang__battery__bus__3301,Shanghai__battery__bus__3305,Jiangsu__pumped__bus__3311,Jiangsu__battery__bus__3312,Zhejiang__pumped__bus__3318,Zhejiang__battery__bus__3319,Anhui__pumped__bus__3323,Anhui__battery__bus__3324,Fujian__pumped__bus__3330,Fujian__battery__bus__3331,Jiangxi__pumped__bus__3335,Jiangxi__battery__bus__3336,Henan__pumped__bus__3340,Henan__battery__bus__3341,Hubei__battery__bus__3345,Hunan__pumped__bus__3349,Hunan__battery__bus__3350,Chongqing__pumped__bus__3354,Chongqing__battery__bus__3355,Sichuan__battery__bus__3359,Guangdong__pumped__bus__3365,Guangdong__battery__bus__3366,Guangxi__battery__bus__3371,Hainan__battery__bus__3376,Guizhou__battery__bus__3380,Yunnan__battery__bus__3384,Shaanxi__pumped__bus__3388,Shaanxi__battery__bus__3389,Gansu__battery__bus__3393,Qinghai__battery__bus__3397,Ningxia__battery__bus__3401,Xinjiang__pumped__bus__3405,Xinjiang__battery__bus__3406,NM_WEST__battery__bus__3410,Tibet__battery__bus__3413
2026-05-02 00:00:00,287.59,350.00,276.22,287.59,213.85,274.59,252.26,254.81,257.80,260.41,332.84,239.25,261.95,261.95,216.01,287.59,261.95,241.66,244.10,241.66,255.62,213.85,216.01,233.72,236.08,290.50,260.41,284.72,258.20,287.59,172.08,271.84,290.50,364.52,245.29,219.27,253.74,208.33,247.39,257.21,247.39,202.57,237.96,215.56,244.62,217.01,247.91,208.33,245.61,217.67,243.90,283.73,260.90,276.31,269.36,275.97,230.07,273.21,267.39,281.85,209.56,248.85,209.56,248.85,248.85,223.12,223.77,262.49,277.44,275.37,241.07,273.75,252.72,342.29,254.90,271.13,203.97,237.78,221.62,223.74,221.63,191.20,178.83,242.84,281.05
2026-05-02 01:00:00,287.59,350.00,276.22,287.59,213.85,236.08,20.00,20.20,257.80,260.41,332.84,231.39,261.95,261.95,216.01,287.59,261.95,233.72,236.08,233.72,255.62,213.85,216.01,233.72,236.08,290.50,260.41,284.72,258.20,287.59,172.08,233.72,290.50,363.62,245.29,219.19,253.09,208.33,247.39,253.65,247.39,201.97,233.48,215.44,240.78,216.93,243.43,208.33,241.00,217.55,238.72,281.70,259.30,275.20,267.06,275.97,230.07,273.21,265.07,279.56,209.56,248.85,209.56,248.85,248.85,219.66,220.99,259.99,273.73,273.92,210.49,234.45,20.73,338.65,20.91,232.42,203.30,232.27,218.76,220.79,218.80,191.20,176.56,242.84,279.12
2026-05-02 02:00:00,276.22,350.00,273.46,281.83,213.85,20.41,20.00,20.20,254.17,256.74,332.84,223.85,259.33,261.95,216.01,279.01,261.95,226.11,228.39,226.11,254.17,213.85,216.01,219.12,221.34,281.83,260.41,276.22,256.74,281.83,172.08,20.20,284.68,362.70,245.29,219.09,252.21,208.33,247.39,249.49,247.39,201.19,227.70,215.21,238.01,216.76,240.41,208.33,238.01,217.29,235.63,277.94,257.35,272.71,264.07,273.74,230.07,269.58,262.11,275.77,209.56,248.85,209.56,248.37,248.85,216.16,218.70,256.71,269.25,270.88,22.46,21.06,20.37,335.16,20.53,20.85,202.40,226.08,216.45,218.34,216.52,191.20,174.81,242.84,275.57
2026-05-02 03:00:00,260.41,350.00,257.80,263.04,213.85,20.00,19.60,19.80,244.10,246.57,332.84,223.85,257.80,255.22,216.01,263.04,257.80,226.11,228.39,226.11,244.10,213.85,216.01,219.12,221.34,265.69,260.41,260.41,246.57,263.04,172.08,19.80,265.69,361.81,245.29,218.97,251.10,208.33,247.39,245.15,247.39,200.32,224.38,214.88,238.01,216.51,240.41,208.33,238.01,216.91,235.63,272.56,254.79,268.67,260.34,269.48,230.07,264.86,258.56,269.83,209.56,248.22,209.56,247.81,247.79,212.75,216.59,252.80,263.15,266.11,22.22,20.63,20.10,331.59,20.22,20.42,201.37,222.71,214.33,216.00,214.43,191.20,173.29,242.84,269.89
2026-05-02 04:00:00,260.41,350.00,257.80,263.04,213.85,20.00,19.60,19.80,244.10,246.57,332.84,223.85,257.80,255.22,216.01,263.04,257.80,226.11,228.39,226.11,244.10,213.85,216.01,219.12,221.34,265.69,260.41,260.41,246.57,263.04,172.08,19.80,265.69,360.95,245.29,218.82,249.83,208.33,247.39,240.76,247.39,199.41,221.60,214.53,238.01,216.24,240.41,208.33,238.01,216.52,235.63,268.16,251.81,265.16,256.16,266.07,230.07,261.27,254.64,265.47,209.56,247.56,209.56,247.24,246.69,209.47,214.69,248.69,258.61,262.20,22.22,20.36,19.89,327.95,19.99,20.16,200.26,219.90,212.47,213.76,212.56,191.20,171.95,242.84,265.27
2026-05-02 05:00:00,260.41,350.00,257.80,263.04,213.85,20.00,19.60,19.80,255.62,258.20,332.84,244.10,257.80,255.22,216.01,263.04,257.80,241.66,244.10,241.66,255.62,213.85,216.01,219.12,221.34,265.69,260.41,260.41,258.20,263.04,172.08,19.80,265.69,360.19,245.29,218.65,248.61,208.33,247.39,236.22,247.39,198.44,218.79,214.16,238.01,215.97,240.41,208.33,238.01,216.12,235.63,264.23,248.57,261.74,251.83,262.76,230.07,257.86,250.61,261.49,209.56,246.76,209.56,246.58,245.43,206.25,212.71,244.51,254.29,258.62,22.22,20.11,19.72,324.23,19.79,19.92,199.06,217.23,210.58,211.50,210.64,191.20,170.63,242.84,261.14
2026-05-02 06:00:00,260.41,350.00,257.80,263.04,213.85,20.00,19.80,19.80,257.80,260.41,332.84,248.03,257.80,255.22,216.01,263.04,257.80,245.55,246.57,244.10,255.62,213.85,216.01,219.12,221.34,265.69,260.41,260.41,258.20,263.04,172.08,19.80,265.69,359.45,245.29,218.49,247.24,208.33,247.39,231.36,247.39,197.41,215.60,213.81,238.01,215.72,240.41,208.33,238.01,215.74,235.63,260.19,245.18,258.08,247.37,259.09,230.07,254.22,246.49,257.38,209.56,245.74,209.56,245.71,243.83,203.01,210.44,240.28,249.36,254.81,22.22,19.88,19.54,319.65,19.57,19.69,197.78,214.40,208.41,208.85,208.48,191.20,169.25,242.84,256.84
2026-05-02 07:00:00,258.20,350.00,223.57,258.20,213.85,20.20,20.00,20.00,255.62,258.20,20.41,255.62,223.57,221.34,216.01,260.81,219.12,253.07,253.07,250.53,255.62,213.85,211.71,219.12,216.93,263.45,258.20,258.20,258.20,258.20,172.08,20.00,260.81,358.77,245.29,218.35,245.02,208.33,246.24,225.84,246.22,196.36,210.38,213.46,238.01,215.48,240.41,208.33,238.01,215.36,235.63,255.26,241.63,253.31,242.75,253.78,230.07,249.19,242.22,252.06,209.56,218.02,209.56,222.00,219.44,199.68,207.43,235.91,233.45,250.04,22.22,19.64,19.36,20.79,19.35,19.45,196.44,210.82,205.51,204.44,205.58,191.20,167.69,242.84,251.27
2026-05-02 08:00:00,207.07,350.00,241.66,249.06,175.76,20.00,19.80,19.60,244.10,244.10,20.20,249.06,181.14,179.32,177.53,246.57,179.32,246.57,246.57,244.10,241.66,183.44,174.00,177.53,175.76,249.06,244.10,244.10,244.10,244.10,172.08,19.80,246.57,358.12,245.29,218.23,236.77,208.33,237.13,218.99,237.22,195.28,175.28,213.15,234.65,215.26,237.00,208.33,235.94,215.03,235.63,244.56,237.86,241.48,237.95,242.69,230.07,206.63,237.74,243.54,209.56,178.88,209.56,179.92,178.25,196.24,176.25,232.06,231.28,238.63,22.22,19.29,19.06,19.81,18.95,19.11,195.09,176.88,174.53,173.21,181.88,191.20,165.45,234.94,240.16
2026-05-02 09:00:00,149.24,350.00,147.75,209.16,0.00,0.00,-0.00,-0.00,20.20,147.75,0.00,19.80,0.00,0.00,0.00,150.75,0.00,19.80,20.00,19.60,149.24,0.00,0.00,0.00,-0.00,209.16,149.24,149.24,244.10,205.00,147.75,0.00,207.07,357.50,245.29,210.43,20.29,208.33,148.07,208.33,149.53,195.28,-0.00,208.33,19.67,210.43,19.98,208.33,19.79,210.43,19.80,220.17,232.40,150.70,232.40,217.97,230.07,149.45,232.40,220.17,209.56,0.00,209.56,0.00,0.00,195.28,0.00,227.77,147.61,149.38,22.22,0.00,0.00,0.00,0.00,0.00,193.33,0.00,0.00,0.00,0.00,191.20,146.64,149.16,215.79
