snapshot,Anhui,Beijing,Chongqing,Fujian,Gansu,Guangdong,Guangxi,Guizhou,HEBEI_NORTH,HEBEI_SOUTH,Hainan,Heilongjiang,Henan,Hubei,Hunan,Jiangsu,Jiangxi,Jilin,Liaoning,NM_EAST,NM_WEST,Ningxia,Qinghai,Shaanxi,Shandong,Shanghai,Shanxi,Sichuan,Tianjin,Tibet,Xinjiang,Yunnan,Zhejiang,Beijing__battery__bus__3255,Tianjin__battery__bus__3258,HEBEI_NORTH__pumped__bus__3262,HEBEI_NORTH__battery__bus__3263,HEBEI_SOUTH__pumped__bus__3267,HEBEI_SOUTH__battery__bus__3268,Shanxi__pumped__bus__3272,Shanxi__battery__bus__3273,Shandong__pumped__bus__3278,Shandong__battery__bus__3279,NM_EAST__pumped__bus__3283,NM_EAST__battery__bus__3284,Liaoning__pumped__bus__3290,Liaoning__battery__bus__3291,Jilin__pumped__bus__3295,Jilin__battery__bus__3296,Heilongjiang__pumped__bus__3300,Heilongjiang__battery__bus__3301,Shanghai__battery__bus__3305,Jiangsu__pumped__bus__3311,Jiangsu__battery__bus__3312,Zhejiang__pumped__bus__3318,Zhejiang__battery__bus__3319,Anhui__pumped__bus__3323,Anhui__battery__bus__3324,Fujian__pumped__bus__3330,Fujian__battery__bus__3331,Jiangxi__pumped__bus__3335,Jiangxi__battery__bus__3336,Henan__pumped__bus__3340,Henan__battery__bus__3341,Hubei__battery__bus__3345,Hunan__pumped__bus__3349,Hunan__battery__bus__3350,Chongqing__pumped__bus__3354,Chongqing__battery__bus__3355,Sichuan__battery__bus__3359,Guangdong__pumped__bus__3365,Guangdong__battery__bus__3366,Guangxi__battery__bus__3371,Hainan__battery__bus__3376,Guizhou__battery__bus__3380,Yunnan__battery__bus__3384,Shaanxi__pumped__bus__3388,Shaanxi__battery__bus__3389,Gansu__battery__bus__3393,Qinghai__battery__bus__3397,Ningxia__battery__bus__3401,Xinjiang__pumped__bus__3405,Xinjiang__battery__bus__3406,NM_WEST__battery__bus__3410,Tibet__battery__bus__3413
2026-08-31 00:00:00,290.50,10000.00,294.72,309.96,267.23,318.67,315.48,271.84,284.86,284.86,336.65,284.86,275.41,272.65,272.65,300.70,272.65,282.01,284.86,282.01,255.62,269.93,269.93,255.62,253.07,309.96,272.65,297.69,258.20,309.96,269.93,315.48,313.09,9500.00,271.79,230.19,271.79,296.14,274.11,289.34,278.46,202.45,240.41,293.80,267.91,296.28,270.62,293.89,267.91,296.77,270.62,314.02,320.67,305.79,326.94,312.17,314.34,298.09,322.13,303.25,275.64,264.21,278.45,274.42,268.53,218.77,259.02,314.05,299.70,302.73,325.89,325.17,299.70,337.23,258.25,321.62,204.50,242.84,253.87,256.43,256.43,215.94,256.43,242.84,308.10
2026-08-31 01:00:00,290.50,10000.00,287.59,306.86,267.23,315.48,312.32,271.84,284.86,284.86,336.65,282.01,272.65,272.65,269.93,293.43,272.65,279.19,282.01,279.19,255.62,267.23,269.93,255.62,253.07,309.96,269.93,290.50,258.20,306.86,269.93,312.32,309.96,9500.00,271.79,230.19,271.79,294.03,274.11,287.02,277.61,202.45,240.41,291.61,267.91,293.96,270.62,291.62,267.91,294.57,270.62,312.51,318.25,305.79,325.07,311.35,312.00,298.09,319.74,303.23,275.62,264.13,278.31,274.20,268.40,218.77,258.82,311.98,299.70,302.73,320.70,321.45,299.45,335.92,258.25,318.03,204.50,242.84,253.87,256.43,256.23,215.94,256.43,242.84,307.47
2026-08-31 02:00:00,290.50,10000.00,284.72,306.86,267.23,315.48,312.32,271.84,284.86,284.86,336.65,282.01,272.65,272.65,269.93,290.50,272.65,279.19,282.01,279.19,255.62,267.23,269.93,255.62,253.07,309.96,269.93,287.59,258.20,306.86,269.93,312.32,309.96,9500.00,271.79,230.19,271.79,291.90,274.11,284.71,276.63,202.45,240.41,289.30,267.91,291.60,270.62,289.30,267.91,292.29,270.62,310.76,316.18,305.79,322.86,310.16,309.89,298.09,317.27,303.20,275.59,264.02,278.15,273.87,268.23,218.77,258.57,310.06,299.70,302.73,315.43,318.05,299.14,334.25,258.25,314.74,204.50,242.84,253.87,256.43,255.98,215.94,256.43,242.84,306.66
2026-08-31 03:00:00,290.50,10000.00,284.72,290.50,267.23,315.48,312.32,271.84,284.86,282.01,336.65,282.01,272.65,272.65,269.93,290.50,272.65,279.19,282.01,279.19,255.62,267.23,269.93,255.62,253.07,293.43,269.93,287.59,258.20,290.50,269.93,312.32,293.43,9500.00,271.79,230.19,271.79,289.84,274.11,282.55,275.70,202.45,240.41,286.90,267.91,289.26,270.62,286.99,267.91,289.99,270.62,308.88,314.53,305.79,320.73,308.88,307.96,298.09,314.86,303.18,275.56,263.90,277.96,273.54,268.04,218.77,258.27,308.44,299.70,302.73,310.23,314.75,298.78,332.33,258.25,311.63,204.50,242.84,253.87,256.43,255.68,215.94,256.43,242.84,305.79
2026-08-31 04:00:00,290.50,350.00,284.72,290.50,267.23,315.48,312.32,271.84,284.86,282.01,336.65,282.01,272.65,272.65,269.93,290.50,272.65,279.19,282.01,279.19,255.62,267.23,269.93,255.62,253.07,293.43,269.93,287.59,258.20,290.50,269.93,312.32,293.43,9500.00,271.79,230.19,271.79,287.85,274.11,280.57,274.84,202.45,240.41,284.55,267.91,286.97,270.62,284.73,267.91,287.72,270.62,308.88,313.13,305.79,319.13,308.88,306.21,298.09,312.92,303.10,275.52,263.78,277.77,273.18,267.83,218.77,257.93,307.03,299.70,302.73,305.23,311.72,298.37,330.21,258.25,308.57,204.50,242.84,253.87,256.43,255.34,215.94,256.43,242.84,305.79
2026-08-31 05:00:00,290.50,10000.00,284.72,290.50,267.23,315.48,312.32,271.84,284.86,282.01,336.65,284.86,272.65,272.65,269.93,290.50,272.65,282.01,284.86,282.01,255.62,267.23,269.93,255.62,253.07,293.43,269.93,287.59,258.20,290.50,269.93,312.32,293.43,9500.00,271.79,230.19,271.79,285.92,274.11,278.72,274.03,202.45,240.41,282.28,267.91,284.76,270.62,282.55,267.91,285.50,270.62,308.88,311.89,305.79,317.84,308.88,304.60,298.09,311.27,303.03,275.48,263.65,277.58,272.82,267.62,218.77,257.52,305.75,299.70,302.73,300.31,308.48,297.89,328.01,258.25,305.29,204.50,242.84,253.87,256.43,254.94,215.94,256.43,242.84,305.79
2026-08-31 06:00:00,290.50,10000.00,284.72,290.50,267.23,315.48,312.32,271.84,284.86,284.86,336.65,284.86,272.65,272.65,269.93,290.50,272.65,282.01,284.86,282.01,255.62,267.23,269.93,255.62,253.07,293.43,269.93,287.59,260.41,290.50,269.93,312.32,293.43,9500.00,271.79,230.19,271.79,284.05,274.11,276.96,273.25,202.45,240.41,280.06,267.91,282.60,270.62,280.42,267.91,283.33,270.62,308.88,310.75,305.79,316.74,308.88,303.10,298.09,309.81,302.96,275.44,263.50,277.38,272.44,267.39,218.77,256.92,304.57,299.70,302.73,295.36,304.45,297.22,325.50,258.25,301.15,204.50,242.84,253.87,256.43,254.35,215.94,256.43,242.84,305.79
2026-08-31 07:00:00,290.50,10000.00,284.72,290.50,241.66,303.43,300.40,271.84,278.19,275.41,336.65,278.19,272.65,269.93,244.10,290.50,272.65,275.41,278.19,275.41,255.62,241.66,239.25,241.66,244.10,296.40,260.41,287.59,260.41,290.50,244.10,297.39,293.43,9500.00,271.79,230.19,271.79,282.20,274.11,275.26,272.49,202.45,237.03,277.88,267.91,280.46,270.62,278.30,267.91,281.18,270.62,309.38,309.69,305.79,315.78,308.88,301.67,298.09,308.47,302.88,275.40,263.36,277.17,272.07,267.17,218.77,241.82,303.45,299.70,302.73,290.24,295.70,290.92,322.15,258.25,291.47,204.50,237.46,239.40,237.76,239.62,212.38,241.13,242.84,305.79
2026-08-31 08:00:00,290.50,10000.00,284.72,290.50,213.85,277.36,274.59,271.84,263.04,260.41,280.16,263.04,272.65,269.93,216.01,290.50,272.65,260.41,263.04,260.41,255.62,213.85,211.71,233.72,236.08,296.40,260.41,287.59,260.41,290.50,211.71,274.59,293.43,9500.00,271.79,230.19,271.79,280.40,274.11,273.66,271.93,202.45,230.22,275.73,267.91,278.36,270.62,276.23,267.91,279.08,270.62,309.99,308.68,305.79,314.93,308.88,300.27,298.09,307.21,302.81,275.36,263.19,276.96,271.69,266.93,218.77,219.78,302.37,299.70,302.73,285.01,273.36,271.72,278.80,258.25,270.43,204.50,230.23,216.89,213.26,217.53,208.35,211.82,242.84,305.79
2026-08-31 09:00:00,290.50,10000.00,291.77,297.69,195.60,216.93,214.76,212.62,260.41,260.41,214.76,263.04,263.04,260.41,199.57,297.69,263.04,260.41,260.41,257.80,255.62,197.58,193.65,219.12,216.93,303.74,260.41,294.72,258.20,297.69,172.08,214.76,300.70,9500.00,271.79,230.19,271.79,278.74,274.11,272.02,271.47,202.45,217.43,273.32,267.91,276.08,270.62,273.99,267.91,276.62,270.62,310.92,307.77,306.18,314.15,309.55,298.87,298.09,306.09,302.73,273.66,263.03,275.50,271.31,266.67,218.77,209.15,301.31,300.10,303.14,280.00,216.11,213.03,213.57,210.94,214.03,204.50,219.79,205.00,198.47,207.06,204.50,181.14,242.84,306.47
