snapshot,Anhui,Beijing,Chongqing,Fujian,Gansu,Guangdong,Guangxi,Guizhou,HEBEI_NORTH,HEBEI_SOUTH,Hainan,Heilongjiang,Henan,Hubei,Hunan,Jiangsu,Jiangxi,Jilin,Liaoning,NM_EAST,NM_WEST,Ningxia,Qinghai,Shaanxi,Shandong,Shanghai,Shanxi,Sichuan,Tianjin,Tibet,Xinjiang,Yunnan,Zhejiang,Beijing__battery__bus__3255,Tianjin__battery__bus__3258,HEBEI_NORTH__pumped__bus__3262,HEBEI_NORTH__battery__bus__3263,HEBEI_SOUTH__pumped__bus__3267,HEBEI_SOUTH__battery__bus__3268,Shanxi__pumped__bus__3272,Shanxi__battery__bus__3273,Shandong__pumped__bus__3278,Shandong__battery__bus__3279,NM_EAST__pumped__bus__3283,NM_EAST__battery__bus__3284,Liaoning__pumped__bus__3290,Liaoning__battery__bus__3291,Jilin__pumped__bus__3295,Jilin__battery__bus__3296,Heilongjiang__pumped__bus__3300,Heilongjiang__battery__bus__3301,Shanghai__battery__bus__3305,Jiangsu__pumped__bus__3311,Jiangsu__battery__bus__3312,Zhejiang__pumped__bus__3318,Zhejiang__battery__bus__3319,Anhui__pumped__bus__3323,Anhui__battery__bus__3324,Fujian__pumped__bus__3330,Fujian__battery__bus__3331,Jiangxi__pumped__bus__3335,Jiangxi__battery__bus__3336,Henan__pumped__bus__3340,Henan__battery__bus__3341,Hubei__battery__bus__3345,Hunan__pumped__bus__3349,Hunan__battery__bus__3350,Chongqing__pumped__bus__3354,Chongqing__battery__bus__3355,Sichuan__battery__bus__3359,Guangdong__pumped__bus__3365,Guangdong__battery__bus__3366,Guangxi__battery__bus__3371,Hainan__battery__bus__3376,Guizhou__battery__bus__3380,Yunnan__battery__bus__3384,Shaanxi__pumped__bus__3388,Shaanxi__battery__bus__3389,Gansu__battery__bus__3393,Qinghai__battery__bus__3397,Ningxia__battery__bus__3401,Xinjiang__pumped__bus__3405,Xinjiang__battery__bus__3406,NM_WEST__battery__bus__3410,Tibet__battery__bus__3413
2026-03-14 00:00:00,294.07,350.00,291.13,294.07,221.29,319.05,274.59,271.84,247.67,250.17,340.46,242.74,262.86,265.52,247.67,294.07,265.52,245.20,247.67,245.20,245.20,221.29,223.53,233.72,236.08,297.04,264.22,294.07,247.67,350.00,219.08,315.86,297.04,368.42,251.01,231.23,260.15,228.92,261.60,214.56,254.79,202.45,240.58,228.92,258.10,231.23,260.71,228.92,258.10,231.23,255.52,312.11,237.63,282.19,314.61,311.07,235.25,279.36,312.34,308.20,212.41,252.24,212.41,260.22,262.02,215.00,235.29,305.55,298.27,308.13,280.00,333.23,289.04,332.91,282.52,329.83,204.50,241.64,232.94,235.29,232.94,208.33,230.61,242.84,332.50
2026-03-14 01:00:00,294.07,350.00,291.13,294.07,221.29,319.05,274.59,271.84,247.67,250.17,340.46,242.74,262.86,265.52,223.53,294.07,265.52,245.20,247.67,245.20,245.20,221.29,223.53,233.72,236.08,297.04,264.22,294.07,247.67,297.04,219.08,315.86,297.04,368.42,251.01,231.23,259.89,228.92,260.87,214.56,254.79,202.45,240.27,228.92,258.10,231.23,260.71,228.92,258.10,231.23,255.52,311.95,237.63,282.19,313.49,310.80,235.25,279.36,311.18,307.76,212.41,252.24,212.41,259.67,261.41,214.96,235.29,304.61,298.27,307.83,280.00,333.18,289.04,332.43,282.52,329.79,204.50,240.63,232.94,235.29,232.94,207.38,230.61,242.84,311.38
2026-03-14 02:00:00,294.07,350.00,283.36,294.07,221.29,319.05,274.59,271.84,250.17,252.70,340.46,242.74,262.86,265.52,223.53,294.07,265.52,245.20,247.67,245.20,250.17,221.29,223.53,233.72,236.08,297.04,264.22,294.07,252.70,297.04,219.08,315.86,297.04,368.42,251.01,231.23,259.70,228.92,260.31,214.56,254.79,202.45,239.92,228.92,258.10,231.23,260.71,228.92,258.10,231.23,255.52,311.81,237.63,282.19,312.17,310.52,235.25,279.36,309.84,307.38,212.41,252.24,212.41,259.06,260.71,214.92,235.29,303.49,298.27,307.52,280.00,333.12,289.04,331.75,282.52,329.73,204.50,239.67,232.94,235.29,232.94,206.43,230.61,242.84,310.15
2026-03-14 03:00:00,294.07,350.00,283.36,294.07,231.39,319.05,274.59,271.84,255.62,258.20,340.46,250.17,262.86,265.52,233.72,294.07,265.52,250.17,250.17,247.67,255.62,231.39,233.72,233.72,247.67,297.04,264.22,294.07,258.20,297.04,229.07,315.86,297.04,368.42,251.01,231.23,259.52,228.92,259.81,214.56,254.79,202.45,239.54,228.92,258.34,231.23,260.96,228.92,258.83,231.23,256.89,311.68,237.63,282.19,310.82,310.26,235.25,279.36,308.45,307.08,212.41,252.24,212.41,258.37,259.87,214.84,235.29,302.20,298.27,307.25,280.00,333.05,289.04,330.91,282.52,329.67,204.50,238.75,232.94,235.29,232.94,205.40,230.61,242.84,309.24
2026-03-14 04:00:00,294.07,350.00,283.36,294.07,245.20,319.05,274.59,271.84,261.58,264.22,340.46,264.22,262.86,265.52,247.67,294.07,265.52,261.58,264.22,258.96,255.62,245.20,247.67,245.20,247.67,297.04,264.22,294.07,258.20,297.04,242.74,315.86,297.04,368.42,251.01,231.23,259.35,228.92,259.32,214.56,254.79,202.45,239.07,228.92,258.58,231.23,261.24,228.92,259.65,231.23,258.48,311.56,237.63,282.19,309.52,310.04,235.25,279.36,307.10,306.80,212.41,252.24,212.41,257.58,258.89,214.75,235.29,300.91,298.27,307.02,280.00,332.98,289.04,329.94,282.52,329.61,204.50,237.89,232.94,235.29,232.94,204.25,230.61,242.84,308.41
2026-03-14 05:00:00,294.07,350.00,291.13,294.07,245.20,319.05,291.13,288.21,264.22,264.22,340.46,264.22,265.52,265.52,247.67,294.07,265.52,264.22,264.22,261.58,255.62,245.20,247.67,245.20,247.67,297.04,264.22,294.07,258.20,297.04,242.74,315.86,297.04,368.42,251.01,231.23,259.18,228.92,258.81,214.56,254.79,202.45,238.50,228.92,258.84,231.23,261.51,228.92,260.45,231.23,259.89,311.46,237.63,282.19,308.29,309.86,235.25,279.36,305.82,306.54,212.41,252.24,212.41,256.67,257.72,214.65,235.29,299.66,298.27,306.81,280.00,332.91,294.21,328.80,282.52,329.55,204.50,236.97,232.94,235.29,232.94,202.88,230.61,242.84,307.70
2026-03-14 06:00:00,294.07,350.00,291.13,294.07,245.20,319.05,315.86,294.07,266.89,264.22,340.46,269.58,265.52,265.52,247.67,294.07,265.52,266.89,266.89,264.22,255.62,245.20,247.67,245.20,247.67,297.04,264.22,294.07,258.20,297.04,242.74,315.86,297.04,368.42,251.01,231.23,259.00,228.92,258.25,214.56,254.79,202.45,237.76,228.92,259.05,231.23,261.76,228.92,261.15,231.23,261.11,311.36,237.63,282.19,307.14,309.69,235.25,279.36,304.59,306.30,212.41,252.24,212.41,255.48,256.20,214.53,235.29,298.43,298.27,306.62,280.00,332.84,300.06,327.34,282.52,329.49,204.50,235.80,232.94,235.29,232.94,201.17,230.61,242.84,307.03
2026-03-14 07:00:00,291.13,350.00,288.21,294.07,245.20,319.05,315.86,291.13,266.89,264.22,340.46,269.58,265.52,265.52,247.67,294.07,265.52,266.89,266.89,264.22,255.62,245.20,247.67,245.20,247.67,297.04,264.22,291.13,258.20,291.13,242.74,315.86,294.07,368.42,251.01,231.23,258.81,228.92,257.64,214.56,254.79,202.45,236.23,228.92,259.21,231.23,261.99,228.92,261.81,231.23,262.12,311.26,237.63,282.19,306.07,309.54,235.25,278.62,303.43,306.08,212.41,252.24,212.41,253.61,253.87,214.41,235.29,297.22,298.27,306.45,280.00,332.77,300.06,325.25,282.52,329.42,204.50,234.05,232.94,235.29,232.94,198.86,230.61,242.84,306.45
2026-03-14 08:00:00,291.13,350.00,288.21,294.07,213.85,319.05,315.86,285.33,260.81,258.20,315.86,266.89,223.57,221.34,216.01,294.07,219.12,264.22,264.22,261.58,255.62,213.85,211.71,219.12,216.93,297.04,264.22,291.13,258.20,291.13,174.78,315.86,294.07,368.42,251.01,231.23,258.58,228.92,256.89,214.56,254.79,202.45,217.17,228.92,259.36,231.23,262.21,228.92,262.40,231.23,263.01,311.17,237.63,282.19,305.11,309.54,235.25,277.36,302.32,305.87,212.41,219.67,212.41,223.36,221.19,214.28,214.62,296.05,298.27,306.45,280.00,332.70,300.06,315.35,282.52,329.36,204.50,216.75,212.18,210.94,212.50,194.20,182.73,242.84,306.45
2026-03-14 09:00:00,211.73,350.00,288.21,294.07,181.60,319.05,274.59,271.84,247.67,245.20,315.86,264.22,187.78,185.91,185.29,294.07,187.16,261.58,264.22,250.17,245.20,183.44,179.79,184.05,182.21,297.04,247.67,291.13,247.67,291.13,172.08,315.86,294.07,368.42,251.01,231.23,258.32,228.92,256.08,214.56,254.79,202.45,188.05,228.92,259.50,231.23,262.42,228.92,262.97,231.23,263.85,311.08,237.63,282.19,304.04,309.54,235.25,222.87,301.21,305.67,212.41,193.75,212.41,193.84,192.13,210.29,191.60,294.58,298.27,306.45,280.00,332.63,289.04,305.12,282.52,329.30,204.50,190.28,187.53,185.96,189.42,194.20,181.14,242.84,306.45
